"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","19.880,0","19.800,0","19.900,0","19.800,0","20,30K","0,40%"
"03.07.2018","19.800,0","19.860,0","19.940,0","19.800,0","116,03K","-0,30%"
"29.06.2018","19.860,0","19.520,0","19.860,0","19.520,0","249,95K","2,16%"
"28.06.2018","19.440,0","19.780,0","19.780,0","19.400,0","158,54K","-1,32%"
"27.06.2018","19.700,0","19.380,0","19.700,0","19.380,0","158,74K","1,65%"
"26.06.2018","19.380,0","19.000,0","19.500,0","18.900,0","274,71K","2,00%"
"25.06.2018","19.000,0","19.180,0","19.200,0","19.000,0","299,43K","0,00%"
"22.06.2018","19.000,0","19.320,0","19.320,0","19.000,0","380,39K","-1,66%"
"21.06.2018","19.320,0","19.200,0","19.500,0","19.200,0","574,13K","0,63%"
"20.06.2018","19.200,0","19.380,0","19.620,0","19.200,0","128,20K","-1,74%"
"19.06.2018","19.540,0","19.680,0","19.680,0","19.380,0","182,76K","-0,81%"
"18.06.2018","19.700,0","19.680,0","19.800,0","19.680,0","524,35K","0,00%"
"15.06.2018","19.700,0","19.440,0","19.700,0","19.400,0","586,10K","1,44%"
"14.06.2018","19.420,0","19.060,0","19.520,0","19.040,0","311,12K","0,10%"
"13.06.2018","19.400,0","19.000,0","19.400,0","19.000,0","303,01K","2,54%"
"12.06.2018","18.920,0","19.160,0","19.300,0","18.920,0","201,16K","-1,97%"
"08.06.2018","19.300,0","19.300,0","19.380,0","19.200,0","246,19K","-0,92%"
"07.06.2018","19.480,0","19.580,0","19.580,0","19.400,0","142,43K","-0,51%"
"06.06.2018","19.580,0","19.600,0","19.600,0","19.440,0","348,30K","0,82%"
"05.06.2018","19.420,0","19.600,0","19.600,0","19.240,0","416,21K","-0,92%"
