"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","16.720,0","17.480,0","17.480,0","16.720,0","7,92K","-3,58%"
"05.09.2018","17.340,0","17.420,0","17.520,0","17.340,0","55,33K","-0,46%"
"04.09.2018","17.420,0","17.500,0","17.520,0","17.420,0","15,82K","-0,23%"
"03.09.2018","17.460,0","17.460,0","17.460,0","17.460,0","3,39K","-1,36%"
"31.08.2018","17.700,0","17.520,0","17.700,0","17.420,0","115,50K","0,80%"
"30.08.2018","17.560,0","17.580,0","17.580,0","17.560,0","4,31K","-0,11%"
"29.08.2018","17.580,0","17.500,0","17.700,0","17.420,0","516,00K","-0,68%"
"28.08.2018","17.700,0","17.520,0","17.720,0","17.520,0","364,53K","0,23%"
"27.08.2018","17.660,0","17.400,0","17.700,0","17.400,0","8,28K","-0,23%"
"24.08.2018","17.700,0","17.520,0","17.700,0","17.400,0","251,34K","1,03%"
"23.08.2018","17.520,0","17.600,0","17.600,0","17.520,0","341,29K","-0,90%"
"22.08.2018","17.680,0","17.400,0","17.680,0","17.400,0","150,67K","0,68%"
"21.08.2018","17.560,0","17.500,0","17.640,0","17.500,0","6,43K","-0,68%"
"17.08.2018","17.680,0","17.700,0","17.700,0","17.240,0","19,43K","1,03%"
"16.08.2018","17.500,0","17.480,0","17.680,0","17.440,0","232,05K","-1,02%"
"15.08.2018","17.680,0","17.160,0","17.700,0","17.160,0","38,50K","1,14%"
"14.08.2018","17.480,0","17.280,0","17.700,0","17.280,0","6,45K","-1,24%"
"13.08.2018","17.700,0","17.280,0","17.700,0","17.280,0","10,66K","0,00%"
"10.08.2018","17.700,0","17.500,0","17.700,0","17.500,0","3,63K","-0,45%"
"09.08.2018","17.780,0","17.560,0","17.780,0","17.560,0","99,10K","0,45%"
"08.08.2018","17.700,0","17.000,0","17.700,0","17.000,0","191,41K","3,51%"
"06.08.2018","17.100,0","17.120,0","17.120,0","17.100,0","41,64K","0,00%"
"03.08.2018","17.100,0","17.120,0","17.120,0","17.100,0","15,87K","-1,72%"
"02.08.2018","17.400,0","17.460,0","17.460,0","17.380,0","22,04K","-1,69%"
"01.08.2018","17.700,0","16.820,0","17.700,0","16.820,0","33,79K","1,72%"
"31.07.2018","17.400,0","17.700,0","17.700,0","17.400,0","890,71K","-1,69%"
"30.07.2018","17.700,0","17.080,0","17.700,0","17.080,0","100,96K","3,63%"
"27.07.2018","17.080,0","17.400,0","17.600,0","17.080,0","16,67K","-3,06%"
"26.07.2018","17.620,0","17.420,0","17.620,0","17.260,0","244,17K","1,26%"
"25.07.2018","17.400,0","17.500,0","17.520,0","17.400,0","44,10K","-1,69%"
"24.07.2018","17.700,0","17.320,0","17.720,0","17.320,0","48,61K","-0,11%"
"23.07.2018","17.720,0","17.400,0","17.720,0","17.300,0","17,75K","1,84%"
"19.07.2018","17.400,0","17.400,0","17.400,0","17.380,0","9,54K","-0,46%"
"18.07.2018","17.480,0","17.440,0","17.480,0","17.380,0","168,42K","0,46%"
"17.07.2018","17.400,0","17.400,0","17.400,0","17.120,0","46,70K","0,00%"
"16.07.2018","17.400,0","16.860,0","17.400,0","16.800,0","42,21K","2,11%"
"13.07.2018","17.040,0","16.820,0","17.100,0","16.820,0","12,34K","1,07%"
"12.07.2018","16.860,0","17.100,0","17.100,0","16.860,0","58,70K","-1,17%"
"11.07.2018","17.060,0","17.020,0","17.060,0","17.000,0","74,36K","0,24%"
"10.07.2018","17.020,0","17.100,0","17.100,0","17.000,0","51,75K","-0,12%"
"09.07.2018","17.040,0","17.200,0","17.200,0","17.000,0","67,32K","-1,16%"
"06.07.2018","17.240,0","17.400,0","17.420,0","17.240,0","10,10K","-0,81%"
"05.07.2018","17.380,0","17.240,0","17.500,0","17.240,0","35,70K","0,93%"
"03.07.2018","17.220,0","17.980,0","17.980,0","17.220,0","2,38K","-3,26%"
"29.06.2018","17.800,0","17.440,0","17.800,0","17.440,0","97,58K","1,60%"
"28.06.2018","17.520,0","17.300,0","17.520,0","17.000,0","59,15K","0,69%"
"27.06.2018","17.400,0","17.400,0","17.420,0","17.140,0","38,19K","0,00%"
"26.06.2018","17.400,0","16.440,0","17.400,0","16.440,0","371,47K","2,84%"
"25.06.2018","16.920,0","16.760,0","17.000,0","16.760,0","247,75K","0,95%"
"22.06.2018","16.760,0","17.400,0","17.400,0","16.760,0","392,38K","-3,68%"
"21.06.2018","17.400,0","17.100,0","17.400,0","17.100,0","485,10K","1,75%"
"20.06.2018","17.100,0","17.200,0","17.200,0","17.100,0","354,81K","-0,23%"
"19.06.2018","17.140,0","17.200,0","17.200,0","17.120,0","650,69K","-1,49%"
"18.06.2018","17.400,0","17.060,0","17.400,0","17.040,0","150,38K","2,11%"
"15.06.2018","17.040,0","17.300,0","17.460,0","17.040,0","58,91K","-1,50%"
"14.06.2018","17.300,0","16.820,0","17.300,0","16.820,0","240,57K","2,85%"
"13.06.2018","16.820,0","16.880,0","17.000,0","16.820,0","17,36K","0,48%"
"12.06.2018","16.740,0","16.740,0","16.740,0","16.740,0","0,61K","0,00%"
"08.06.2018","16.740,0","16.880,0","16.880,0","16.740,0","134,04K","-0,71%"
"07.06.2018","16.860,0","16.940,0","16.940,0","16.860,0","112,98K","-0,82%"
"06.06.2018","17.000,0","17.000,0","17.040,0","17.000,0","286,70K","0,00%"
"05.06.2018","17.000,0","17.000,0","17.060,0","17.000,0","197,32K","-1,05%"
"01.06.2018","17.180,0","17.020,0","17.180,0","17.020,0","8,77K","1,06%"
"31.05.2018","17.000,0","17.000,0","17.000,0","16.620,0","92,74K","0,00%"
"30.05.2018","17.000,0","17.020,0","17.300,0","17.000,0","84,76K","0,00%"
"29.05.2018","17.000,0","16.940,0","17.000,0","16.940,0","115,25K","0,47%"
"28.05.2018","16.920,0","16.920,0","16.920,0","16.920,0","4,58K","0,00%"
"25.05.2018","16.920,0","16.920,0","17.020,0","16.900,0","82,74K","-0,12%"
"24.05.2018","16.940,0","16.720,0","16.940,0","16.700,0","70,53K","0,71%"
"23.05.2018","16.820,0","16.700,0","16.840,0","16.520,0","70,84K","1,08%"
"22.05.2018","16.640,0","16.500,0","16.680,0","16.500,0","85,70K","1,34%"
"21.05.2018","16.420,0","16.220,0","16.840,0","16.100,0","14,90K","0,24%"
"18.05.2018","16.380,0","16.200,0","16.380,0","16.200,0","274,63K","0,99%"
"17.05.2018","16.220,0","16.600,0","16.660,0","16.220,0","25,35K","-2,29%"
"16.05.2018","16.600,0","16.600,0","16.600,0","16.600,0","5,53K","-1,54%"
"15.05.2018","16.860,0","16.560,0","16.900,0","16.560,0","18,71K","-0,47%"
"11.05.2018","16.940,0","16.480,0","16.940,0","16.480,0","4,46K","0,71%"
"10.05.2018","16.820,0","17.000,0","17.000,0","16.800,0","24,81K","0,12%"
"09.05.2018","16.800,0","16.700,0","16.800,0","16.580,0","93,30K","1,08%"
"08.05.2018","16.620,0","16.200,0","16.760,0","16.180,0","11,94K","1,34%"
"07.05.2018","16.400,0","16.220,0","16.400,0","16.200,0","6,06K","1,23%"
"04.05.2018","16.200,0","16.600,0","16.680,0","16.200,0","28,11K","-2,41%"
"03.05.2018","16.600,0","16.700,0","16.700,0","16.600,0","31,54K","-1,31%"
"02.05.2018","16.820,0","16.600,0","16.820,0","16.600,0","38,70K","1,33%"
"30.04.2018","16.600,0","16.500,0","16.680,0","16.500,0","178,34K","0,61%"
"27.04.2018","16.500,0","16.400,0","16.500,0","16.400,0","4,95K","-0,36%"
"26.04.2018","16.560,0","16.320,0","16.560,0","16.320,0","46,64K","0,73%"
"25.04.2018","16.440,0","16.220,0","16.440,0","16.200,0","40,79K","0,86%"
"24.04.2018","16.300,0","16.380,0","16.500,0","16.140,0","120,27K","0,00%"
"23.04.2018","16.300,0","16.300,0","16.340,0","16.120,0","81,79K","-0,12%"
"20.04.2018","16.320,0","16.580,0","16.580,0","16.300,0","68,18K","-2,86%"
"19.04.2018","16.800,0","17.000,0","17.060,0","16.800,0","19,31K","-1,64%"
"18.04.2018","17.080,0","17.080,0","17.100,0","17.000,0","118,94K","0,00%"
"17.04.2018","17.080,0","16.580,0","17.200,0","16.580,0","33,71K","0,23%"
"16.04.2018","17.040,0","16.860,0","17.040,0","16.860,0","5,29K","-0,70%"
"13.04.2018","17.160,0","17.220,0","17.220,0","17.120,0","17,87K","-1,38%"
"12.04.2018","17.400,0","17.040,0","17.400,0","17.040,0","65,00K","0,00%"
"11.04.2018","17.400,0","17.380,0","17.400,0","17.060,0","68,64K","0,00%"
"10.04.2018","17.400,0","17.400,0","17.420,0","16.480,0","64,97K","-0,11%"
"09.04.2018","17.420,0","17.060,0","17.420,0","16.920,0","157,43K","2,11%"
"06.04.2018","17.060,0","16.980,0","17.060,0","16.700,0","13,79K","0,47%"
"05.04.2018","16.980,0","16.800,0","16.980,0","16.800,0","10,45K","2,29%"
"04.04.2018","16.600,0","16.600,0","16.660,0","16.600,0","68,99K","-0,12%"
"03.04.2018","16.620,0","16.460,0","16.620,0","16.460,0","26,51K","1,34%"
"02.04.2018","16.400,0","16.400,0","16.600,0","16.400,0","4,83K","0,00%"
"28.03.2018","16.400,0","16.180,0","16.480,0","16.180,0","36,20K","1,86%"
"27.03.2018","16.100,0","16.200,0","16.400,0","16.100,0","14,59K","-0,98%"
"26.03.2018","16.260,0","16.260,0","16.260,0","16.200,0","3,23K","0,87%"
"23.03.2018","16.120,0","16.280,0","16.300,0","16.120,0","103,77K","-0,49%"
"22.03.2018","16.200,0","16.100,0","16.340,0","16.100,0","32,13K","-0,61%"
"21.03.2018","16.300,0","16.260,0","16.460,0","16.260,0","119,10K","1,75%"
"20.03.2018","16.020,0","16.000,0","16.480,0","16.000,0","33,69K","0,13%"
"16.03.2018","16.000,0","16.000,0","16.000,0","15.900,0","130,75K","0,50%"
"15.03.2018","15.920,0","16.000,0","16.000,0","15.840,0","25,08K","-0,50%"
"14.03.2018","16.000,0","15.900,0","16.000,0","15.900,0","9,29K","0,25%"
"13.03.2018","15.960,0","16.000,0","16.300,0","15.680,0","72,86K","-0,25%"
"12.03.2018","16.000,0","16.020,0","16.300,0","15.980,0","8,55K","0,13%"
"09.03.2018","15.980,0","16.000,0","16.000,0","15.800,0","282,97K","1,01%"
"08.03.2018","15.820,0","15.640,0","15.980,0","15.640,0","311,19K","-0,75%"
"07.03.2018","15.940,0","16.020,0","16.040,0","15.940,0","314,69K","-0,50%"
"06.03.2018","16.020,0","16.260,0","16.280,0","15.900,0","61,84K","-1,48%"
"05.03.2018","16.260,0","16.120,0","16.260,0","16.120,0","19,50K","-0,37%"
"02.03.2018","16.320,0","15.960,0","16.320,0","15.940,0","10,60K","1,37%"
"01.03.2018","16.100,0","16.540,0","16.540,0","16.000,0","60,62K","-2,66%"
"28.02.2018","16.540,0","16.820,0","16.860,0","16.500,0","80,85K","-2,36%"
"27.02.2018","16.940,0","17.480,0","17.480,0","16.940,0","67,22K","-3,31%"
"26.02.2018","17.520,0","17.680,0","17.680,0","17.400,0","27,20K","0,69%"
"23.02.2018","17.400,0","17.320,0","17.400,0","17.140,0","53,11K","0,00%"
"22.02.2018","17.400,0","17.660,0","17.700,0","17.400,0","66,62K","-1,36%"
"21.02.2018","17.640,0","17.680,0","17.860,0","17.500,0","63,39K","-0,23%"
"20.02.2018","17.680,0","17.660,0","18.080,0","17.660,0","23,27K","-2,32%"
"19.02.2018","18.100,0","17.980,0","18.100,0","17.980,0","10,70K","0,67%"
"16.02.2018","17.980,0","17.660,0","18.120,0","17.620,0","58,68K","1,70%"
"15.02.2018","17.680,0","17.880,0","17.880,0","17.680,0","44,29K","-1,23%"
"14.02.2018","17.900,0","17.520,0","17.900,0","17.500,0","31,48K","1,94%"
"13.02.2018","17.560,0","17.680,0","17.740,0","17.560,0","116,24K","-1,57%"
"12.02.2018","17.840,0","17.980,0","17.980,0","17.800,0","53,47K","1,13%"
"09.02.2018","17.640,0","17.820,0","18.000,0","17.640,0","47,55K","-2,00%"
"08.02.2018","18.000,0","18.100,0","18.400,0","18.000,0","39,22K","-1,75%"
"07.02.2018","18.320,0","18.140,0","18.400,0","18.100,0","27,36K","0,88%"
"06.02.2018","18.160,0","18.500,0","18.500,0","18.020,0","30,41K","0,22%"
"05.02.2018","18.120,0","18.500,0","18.620,0","18.120,0","62,57K","-2,48%"
"02.02.2018","18.580,0","18.500,0","18.600,0","18.460,0","141,69K","-0,11%"
"01.02.2018","18.600,0","18.580,0","18.700,0","18.460,0","79,02K","2,65%"
"31.01.2018","18.120,0","18.900,0","18.900,0","18.120,0","171,92K","-4,23%"
"30.01.2018","18.920,0","19.200,0","19.200,0","18.900,0","28,18K","-1,36%"
"29.01.2018","19.180,0","19.080,0","19.180,0","19.000,0","60,37K","1,16%"
"26.01.2018","18.960,0","19.100,0","19.100,0","18.900,0","53,94K","-0,52%"
"25.01.2018","19.060,0","19.220,0","19.300,0","19.000,0","106,64K","-0,83%"
"24.01.2018","19.220,0","19.200,0","19.360,0","19.140,0","118,90K","0,31%"
"23.01.2018","19.160,0","19.000,0","19.220,0","18.780,0","342,42K","0,95%"
"22.01.2018","18.980,0","18.780,0","19.080,0","18.780,0","61,23K","1,06%"
"19.01.2018","18.780,0","18.620,0","18.780,0","18.620,0","55,44K","0,00%"
"18.01.2018","18.780,0","18.800,0","18.800,0","18.620,0","37,51K","-0,11%"
"17.01.2018","18.800,0","18.900,0","18.900,0","18.560,0","5,81K","-0,53%"
"16.01.2018","18.900,0","18.560,0","18.960,0","18.560,0","80,26K","2,05%"
"15.01.2018","18.520,0","18.900,0","19.000,0","18.520,0","26,21K","-2,01%"
"12.01.2018","18.900,0","18.620,0","18.920,0","18.620,0","13,05K","0,00%"
"11.01.2018","18.900,0","18.900,0","18.900,0","18.900,0","0,90K","-0,42%"
"10.01.2018","18.980,0","18.520,0","18.980,0","18.500,0","15,72K","2,04%"
"09.01.2018","18.600,0","18.600,0","18.600,0","18.600,0","16,79K","-1,48%"
"05.01.2018","18.880,0","18.860,0","19.000,0","18.860,0","13,57K","0,75%"
"04.01.2018","18.740,0","18.580,0","18.740,0","18.580,0","28,95K","1,19%"
"03.01.2018","18.520,0","19.000,0","19.000,0","18.520,0","2,56K","-3,34%"
"02.01.2018","19.160,0","19.160,0","19.160,0","19.160,0","1,69K","-0,10%"
"28.12.2017","19.180,0","19.100,0","19.200,0","18.880,0","252,15K","0,95%"
"27.12.2017","19.000,0","18.880,0","19.180,0","18.880,0","62,72K","0,64%"
"26.12.2017","18.880,0","18.600,0","18.880,0","18.600,0","31,97K","1,51%"
"22.12.2017","18.600,0","18.900,0","18.900,0","18.600,0","66,79K","-1,90%"
"21.12.2017","18.960,0","18.800,0","18.960,0","18.740,0","137,70K","0,85%"
"20.12.2017","18.800,0","18.660,0","18.800,0","18.600,0","89,56K","0,64%"
"19.12.2017","18.680,0","18.680,0","18.680,0","18.580,0","20,40K","0,43%"
"18.12.2017","18.600,0","18.600,0","18.680,0","18.520,0","100,47K","0,65%"
"15.12.2017","18.480,0","18.380,0","18.560,0","18.360,0","106,31K","0,11%"
"14.12.2017","18.460,0","18.480,0","18.620,0","18.360,0","86,47K","-0,75%"
"13.12.2017","18.600,0","18.460,0","18.600,0","18.460,0","16,05K","0,00%"
"12.12.2017","18.600,0","18.580,0","18.700,0","18.400,0","34,10K","0,00%"
"11.12.2017","18.600,0","18.600,0","18.600,0","18.440,0","26,02K","-0,43%"
"07.12.2017","18.680,0","18.500,0","18.680,0","18.500,0","62,23K","1,19%"
"06.12.2017","18.460,0","18.460,0","18.500,0","18.300,0","68,49K","0,87%"
"05.12.2017","18.300,0","18.300,0","18.440,0","18.300,0","142,30K","-0,22%"
"04.12.2017","18.340,0","18.320,0","18.420,0","18.320,0","11,60K","-0,43%"
"01.12.2017","18.420,0","18.500,0","18.500,0","18.420,0","227,04K","-0,75%"
"30.11.2017","18.560,0","18.240,0","18.560,0","18.240,0","294,00K","1,42%"
"29.11.2017","18.300,0","18.440,0","18.480,0","18.300,0","355,61K","-0,44%"
"28.11.2017","18.380,0","18.380,0","18.380,0","18.240,0","28,47K","0,00%"
"27.11.2017","18.380,0","18.360,0","18.380,0","18.320,0","62,20K","-0,11%"
"24.11.2017","18.400,0","18.320,0","18.400,0","18.320,0","17,06K","-0,54%"
"23.11.2017","18.500,0","18.300,0","18.500,0","18.200,0","16,56K","0,54%"
"22.11.2017","18.400,0","18.380,0","18.400,0","18.220,0","76,38K","0,11%"
"21.11.2017","18.380,0","18.460,0","18.460,0","18.300,0","37,35K","-0,86%"
"20.11.2017","18.540,0","18.360,0","18.580,0","18.360,0","16,30K","0,22%"
"17.11.2017","18.500,0","18.240,0","18.500,0","18.240,0","36,49K","0,22%"
"16.11.2017","18.460,0","18.500,0","18.600,0","18.260,0","53,56K","0,22%"
"15.11.2017","18.420,0","18.460,0","18.500,0","18.420,0","24,31K","0,99%"
"14.11.2017","18.240,0","18.100,0","18.400,0","18.100,0","79,56K","0,66%"
"10.11.2017","18.120,0","18.500,0","18.500,0","18.120,0","39,80K","-1,95%"
"09.11.2017","18.480,0","18.200,0","18.500,0","18.200,0","21,19K","1,54%"
"08.11.2017","18.200,0","18.500,0","18.500,0","18.200,0","4,61K","-0,55%"
"07.11.2017","18.300,0","18.400,0","18.480,0","18.300,0","18,03K","0,33%"
"03.11.2017","18.240,0","18.240,0","18.240,0","18.220,0","7,54K","-1,41%"
"02.11.2017","18.500,0","18.220,0","18.500,0","18.200,0","27,81K","1,54%"
"01.11.2017","18.220,0","18.500,0","18.500,0","18.220,0","25,99K","-0,98%"
"31.10.2017","18.400,0","18.220,0","18.400,0","18.100,0","418,98K","0,55%"
"30.10.2017","18.300,0","18.400,0","18.400,0","18.140,0","20,75K","-0,97%"
"27.10.2017","18.480,0","18.480,0","18.500,0","18.400,0","47,96K","0,98%"
"26.10.2017","18.300,0","18.600,0","18.620,0","18.300,0","51,55K","-1,82%"
"25.10.2017","18.640,0","18.600,0","18.640,0","18.500,0","8,19K","1,30%"
"24.10.2017","18.400,0","18.480,0","18.640,0","18.400,0","31,23K","-1,60%"
"23.10.2017","18.700,0","18.700,0","18.700,0","18.440,0","66,75K","0,11%"
"20.10.2017","18.680,0","18.700,0","18.760,0","18.600,0","48,46K","-0,11%"
"19.10.2017","18.700,0","18.760,0","18.760,0","18.700,0","66,84K","-0,11%"
"18.10.2017","18.720,0","19.000,0","19.000,0","18.720,0","51,54K","-0,43%"
"17.10.2017","18.800,0","18.900,0","18.900,0","18.660,0","29,02K","-1,16%"
"13.10.2017","19.020,0","18.900,0","19.060,0","18.900,0","11,58K","0,53%"
"12.10.2017","18.920,0","19.000,0","19.080,0","18.920,0","14,15K","-0,42%"
"11.10.2017","19.000,0","18.900,0","19.000,0","18.880,0","21,52K","-0,11%"
"10.10.2017","19.020,0","19.000,0","19.100,0","19.000,0","25,07K","0,32%"
"09.10.2017","18.960,0","18.880,0","18.960,0","18.880,0","36,69K","0,32%"
"06.10.2017","18.900,0","18.720,0","18.900,0","18.720,0","30,50K","0,96%"
"05.10.2017","18.720,0","18.740,0","18.900,0","18.700,0","11,69K","-0,32%"
"04.10.2017","18.780,0","18.780,0","18.780,0","18.680,0","38,12K","0,00%"
"03.10.2017","18.780,0","18.960,0","18.980,0","18.700,0","360,28K","-2,09%"
"02.10.2017","19.180,0","19.200,0","19.200,0","18.880,0","18,84K","-0,10%"
"29.09.2017","19.200,0","18.880,0","19.200,0","18.880,0","8,50K","0,10%"
"28.09.2017","19.180,0","19.180,0","19.180,0","19.060,0","14,43K","0,00%"
"27.09.2017","19.180,0","18.980,0","19.180,0","18.840,0","32,12K","0,52%"
"26.09.2017","19.080,0","18.720,0","19.080,0","18.720,0","3,94K","0,53%"
"25.09.2017","18.980,0","18.800,0","18.980,0","18.800,0","406,01K","-0,11%"
"22.09.2017","19.000,0","18.880,0","19.000,0","18.800,0","16,07K","0,00%"
"21.09.2017","19.000,0","19.000,0","19.000,0","19.000,0","192,92K","-0,94%"
"20.09.2017","19.180,0","19.080,0","19.180,0","19.000,0","60,89K","-0,10%"
"19.09.2017","19.200,0","19.240,0","19.360,0","19.180,0","95,17K","0,10%"
"18.09.2017","19.180,0","19.020,0","19.260,0","19.000,0","61,96K","1,16%"
"15.09.2017","18.960,0","18.700,0","18.960,0","18.660,0","131,42K","1,39%"
"14.09.2017","18.700,0","18.740,0","18.800,0","18.700,0","66,50K","-1,37%"
"13.09.2017","18.960,0","18.760,0","18.960,0","18.720,0","43,40K","0,53%"
"12.09.2017","18.860,0","19.180,0","19.180,0","18.860,0","28,13K","-1,67%"
"11.09.2017","19.180,0","19.200,0","19.200,0","19.020,0","30,82K","0,95%"
"08.09.2017","19.000,0","19.040,0","19.140,0","19.000,0","31,78K","-0,31%"
"07.09.2017","19.060,0","19.120,0","19.240,0","19.060,0","24,55K","-0,42%"
"06.09.2017","19.140,0","19.120,0","19.140,0","19.120,0","2,25K","-0,62%"
