"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","2.370,0","2.355,0","2.440,0","2.345,0","237,63K","0,64%"
"03.07.2018","2.370,0","2.355,0","2.440,0","2.345,0","237,63K","0,64%"
"29.06.2018","2.355,0","2.415,0","2.435,0","2.350,0","1,38M","-2,69%"
"28.06.2018","2.420,0","2.500,0","2.500,0","2.420,0","1,69M","-5,28%"
"27.06.2018","2.555,0","2.500,0","2.580,0","2.475,0","600,18K","0,99%"
"26.06.2018","2.530,0","2.510,0","2.535,0","2.470,0","130,22K","-0,39%"
"25.06.2018","2.540,0","2.550,0","2.550,0","2.510,0","58,65K","0,00%"
"22.06.2018","2.540,0","2.555,0","2.590,0","2.540,0","160,73K","-0,39%"
"21.06.2018","2.550,0","2.590,0","2.645,0","2.550,0","519,84K","-1,54%"
"20.06.2018","2.590,0","2.605,0","2.610,0","2.575,0","310,37K","-0,58%"
"19.06.2018","2.605,0","2.620,0","2.640,0","2.600,0","255,43K","-1,33%"
"18.06.2018","2.640,0","2.650,0","2.650,0","2.630,0","195,26K","0,19%"
"15.06.2018","2.635,0","2.660,0","2.690,0","2.635,0","401,54K","-2,41%"
"14.06.2018","2.700,0","2.685,0","2.700,0","2.675,0","100,38K","0,93%"
"13.06.2018","2.675,0","2.695,0","2.700,0","2.675,0","88,86K","-0,74%"
"12.06.2018","2.695,0","2.725,0","2.745,0","2.695,0","107,37K","-1,28%"
"08.06.2018","2.730,0","2.700,0","2.730,0","2.690,0","45,91K","1,30%"
"07.06.2018","2.695,0","2.700,0","2.730,0","2.695,0","166,62K","-0,92%"
"06.06.2018","2.720,0","2.665,0","2.720,0","2.585,0","801,94K","0,93%"
"05.06.2018","2.695,0","2.735,0","2.750,0","2.675,0","1,31M","-1,82%"
