"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","68.300,0","68.500,0","68.500,0","68.300,0","8,24K","-0,64%"
"05.09.2018","68.740,0","68.980,0","69.000,0","68.740,0","5,25K","-0,38%"
"04.09.2018","69.000,0","68.600,0","69.000,0","68.600,0","4,24K","0,64%"
"03.09.2018","68.560,0","68.600,0","68.600,0","68.540,0","0,95K","-0,64%"
"31.08.2018","69.000,0","68.600,0","69.000,0","68.500,0","6,44K","0,29%"
"30.08.2018","68.800,0","68.800,0","68.800,0","68.800,0","10,96K","-0,29%"
"29.08.2018","69.000,0","69.000,0","69.000,0","68.920,0","8,59K","0,00%"
"27.08.2018","69.000,0","68.980,0","69.000,0","68.860,0","17,76K","0,00%"
"24.08.2018","69.000,0","68.960,0","69.000,0","68.660,0","18,92K","0,06%"
"23.08.2018","68.960,0","68.960,0","68.960,0","68.820,0","2,67K","-0,03%"
"22.08.2018","68.980,0","68.920,0","68.980,0","68.560,0","7,67K","0,03%"
"21.08.2018","68.960,0","68.960,0","68.980,0","68.960,0","1,47K","-0,03%"
"17.08.2018","68.980,0","68.520,0","68.980,0","68.500,0","3,82K","0,70%"
"16.08.2018","68.500,0","68.980,0","68.980,0","68.500,0","5,31K","-0,64%"
"15.08.2018","68.940,0","68.500,0","68.980,0","68.500,0","6,73K","0,64%"
"14.08.2018","68.500,0","68.640,0","68.960,0","68.300,0","3,69K","-0,20%"
"13.08.2018","68.640,0","68.640,0","68.660,0","68.640,0","3,30K","-0,52%"
"10.08.2018","69.000,0","69.000,0","69.000,0","68.640,0","5,43K","0,00%"
"09.08.2018","69.000,0","69.000,0","69.000,0","69.000,0","9,85K","0,00%"
"08.08.2018","69.000,0","68.640,0","69.000,0","68.640,0","5,73K","0,00%"
"03.08.2018","69.000,0","68.640,0","69.000,0","68.640,0","3,96K","0,03%"
"02.08.2018","68.980,0","69.000,0","69.000,0","68.640,0","9,71K","0,50%"
"01.08.2018","68.640,0","69.200,0","69.200,0","68.640,0","24,59K","0,20%"
"31.07.2018","68.500,0","68.720,0","69.900,0","68.500,0","13,07K","-2,09%"
"30.07.2018","69.960,0","69.960,0","69.960,0","69.940,0","1,45K","-0,03%"
"27.07.2018","69.980,0","69.500,0","69.980,0","69.500,0","0,96K","0,69%"
"26.07.2018","69.500,0","69.460,0","69.500,0","69.460,0","6,34K","0,06%"
"25.07.2018","69.460,0","69.000,0","69.460,0","68.520,0","2,55K","1,40%"
"24.07.2018","68.500,0","69.000,0","69.000,0","68.500,0","25,60K","-0,38%"
"23.07.2018","68.760,0","69.000,0","69.100,0","68.760,0","9,63K","-0,35%"
"19.07.2018","69.000,0","69.320,0","69.320,0","69.000,0","2,83K","-0,46%"
"18.07.2018","69.320,0","68.700,0","69.480,0","68.620,0","11,44K","-0,23%"
"17.07.2018","69.480,0","69.400,0","69.480,0","69.400,0","4,82K","0,12%"
"16.07.2018","69.400,0","68.700,0","69.440,0","68.700,0","7,24K","1,11%"
"13.07.2018","68.640,0","68.620,0","69.000,0","68.620,0","2,63K","0,03%"
"12.07.2018","68.620,0","68.620,0","69.100,0","68.620,0","12,32K","-0,26%"
"11.07.2018","68.800,0","68.980,0","68.980,0","68.800,0","3,40K","-0,17%"
"10.07.2018","68.920,0","68.600,0","68.920,0","68.600,0","5,63K","0,47%"
"09.07.2018","68.600,0","68.900,0","68.900,0","68.520,0","3,66K","-0,44%"
"06.07.2018","68.900,0","68.900,0","68.980,0","68.900,0","7,49K","0,00%"
"05.07.2018","68.900,0","68.340,0","68.940,0","68.340,0","8,87K","0,97%"
"04.07.2018","68.240,0","68.260,0","68.260,0","68.240,0","1,83K","0,06%"
"03.07.2018","68.200,0","68.400,0","68.400,0","68.200,0","9,09K","0,15%"
"29.06.2018","68.100,0","68.100,0","68.100,0","68.000,0","11,54K","0,15%"
"28.06.2018","68.000,0","68.580,0","68.620,0","68.000,0","59,99K","-0,93%"
"27.06.2018","68.640,0","68.900,0","69.000,0","68.640,0","17,23K","-0,46%"
"26.06.2018","68.960,0","68.900,0","68.960,0","68.680,0","6,30K","0,82%"
"25.06.2018","68.400,0","68.600,0","68.600,0","68.400,0","5,67K","-0,15%"
"22.06.2018","68.500,0","68.020,0","68.500,0","68.020,0","1,34K","0,53%"
"21.06.2018","68.140,0","68.960,0","68.960,0","68.000,0","11,99K","-1,22%"
"20.06.2018","68.980,0","67.680,0","68.980,0","67.680,0","40,22K","1,44%"
"19.06.2018","68.000,0","68.500,0","68.980,0","67.640,0","19,59K","-1,42%"
"18.06.2018","68.980,0","67.460,0","68.980,0","67.460,0","5,90K","2,25%"
"15.06.2018","67.460,0","68.140,0","68.500,0","67.460,0","105,71K","-1,00%"
"14.06.2018","68.140,0","69.000,0","69.000,0","68.100,0","16,64K","-1,25%"
"13.06.2018","69.000,0","69.200,0","69.200,0","69.000,0","13,72K","-0,29%"
"12.06.2018","69.200,0","69.200,0","69.780,0","69.200,0","11,94K","-0,97%"
"08.06.2018","69.880,0","69.920,0","69.920,0","69.880,0","2,04K","-0,03%"
"07.06.2018","69.900,0","69.400,0","69.900,0","69.400,0","14,91K","0,72%"
"06.06.2018","69.400,0","69.500,0","69.740,0","69.400,0","7,93K","0,00%"
"05.06.2018","69.400,0","70.000,0","70.000,0","69.400,0","6,45K","-0,86%"
"01.06.2018","70.000,0","70.000,0","71.000,0","69.900,0","42,41K","0,03%"
"31.05.2018","69.980,0","69.360,0","69.980,0","69.360,0","19,65K","0,86%"
"30.05.2018","69.380,0","69.980,0","70.000,0","69.380,0","11,73K","-0,86%"
"29.05.2018","69.980,0","69.020,0","70.000,0","69.020,0","16,35K","0,40%"
"28.05.2018","69.700,0","69.700,0","69.700,0","69.700,0","0,26K","0,00%"
"25.05.2018","69.700,0","69.700,0","69.700,0","69.700,0","0,93K","0,00%"
"24.05.2018","69.700,0","69.700,0","69.700,0","69.700,0","21,01K","0,00%"
"23.05.2018","69.700,0","69.500,0","69.700,0","69.500,0","10,92K","0,00%"
