"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","35.540,0","35.500,0","35.540,0","35.420,0","37,43K","0,34%"
"03.07.2018","35.420,0","35.320,0","36.100,0","35.320,0","296,24K","0,28%"
"29.06.2018","35.320,0","34.620,0","35.320,0","34.200,0","210,10K","2,20%"
"28.06.2018","34.560,0","34.180,0","34.800,0","33.920,0","421,79K","2,25%"
"27.06.2018","33.800,0","34.000,0","34.200,0","33.800,0","121,75K","0,00%"
"26.06.2018","33.800,0","33.300,0","33.800,0","33.300,0","77,61K","0,84%"
"25.06.2018","33.520,0","33.500,0","34.200,0","33.500,0","95,63K","0,06%"
"22.06.2018","33.500,0","33.920,0","33.920,0","33.500,0","89,22K","-1,64%"
"21.06.2018","34.060,0","33.740,0","34.140,0","33.740,0","220,84K","1,31%"
"20.06.2018","33.620,0","34.000,0","34.060,0","33.480,0","189,61K","-1,12%"
"19.06.2018","34.000,0","33.380,0","34.200,0","33.380,0","936,36K","-0,29%"
"18.06.2018","34.100,0","33.620,0","34.120,0","33.620,0","211,84K","3,27%"
"15.06.2018","33.020,0","33.720,0","33.760,0","33.020,0","630,88K","-2,31%"
"14.06.2018","33.800,0","33.600,0","33.960,0","33.600,0","382,87K","0,78%"
"13.06.2018","33.540,0","33.700,0","34.080,0","33.540,0","201,04K","-0,18%"
"12.06.2018","33.600,0","33.160,0","33.800,0","33.160,0","303,69K","1,39%"
"08.06.2018","33.140,0","33.080,0","33.180,0","32.900,0","164,03K","0,18%"
"07.06.2018","33.080,0","33.380,0","33.480,0","33.080,0","446,88K","-2,07%"
"06.06.2018","33.780,0","33.880,0","33.880,0","33.320,0","139,82K","0,24%"
"05.06.2018","33.700,0","34.000,0","34.020,0","33.700,0","195,70K","-0,06%"
