"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","32.540,0","32.400,0","32.580,0","32.400,0","454,92K","0,06%"
"05.09.2018","32.520,0","32.900,0","32.900,0","32.440,0","449,83K","-1,16%"
"04.09.2018","32.900,0","33.020,0","33.320,0","32.900,0","227,65K","-0,96%"
"03.09.2018","33.220,0","32.980,0","33.220,0","32.980,0","11,60K","0,06%"
"31.08.2018","33.200,0","32.900,0","33.200,0","32.800,0","522,86K","0,85%"
"30.08.2018","32.920,0","33.160,0","33.160,0","32.800,0","554,64K","-0,72%"
"29.08.2018","33.160,0","33.500,0","33.580,0","33.140,0","305,96K","-1,66%"
"28.08.2018","33.720,0","33.700,0","33.760,0","33.600,0","406,29K","0,24%"
"27.08.2018","33.640,0","33.060,0","33.700,0","33.060,0","515,19K","1,88%"
"24.08.2018","33.020,0","32.720,0","33.140,0","32.720,0","2,22M","0,06%"
"23.08.2018","33.000,0","33.080,0","33.140,0","32.800,0","1,19M","-0,30%"
"22.08.2018","33.100,0","33.340,0","33.340,0","33.020,0","949,38K","-1,02%"
"21.08.2018","33.440,0","33.500,0","33.600,0","33.220,0","835,92K","-1,07%"
"17.08.2018","33.800,0","33.580,0","33.820,0","33.500,0","786,63K","0,42%"
"16.08.2018","33.660,0","33.140,0","33.900,0","33.140,0","521,26K","1,26%"
"15.08.2018","33.240,0","33.040,0","33.500,0","32.780,0","534,28K","0,36%"
"14.08.2018","33.120,0","33.180,0","33.220,0","33.060,0","366,40K","-0,18%"
"13.08.2018","33.180,0","32.900,0","33.240,0","32.700,0","376,23K","0,79%"
"10.08.2018","32.920,0","33.500,0","33.500,0","32.920,0","505,11K","-1,97%"
"09.08.2018","33.580,0","33.800,0","33.800,0","33.400,0","625,15K","-0,65%"
"08.08.2018","33.800,0","33.640,0","33.800,0","33.240,0","523,38K","0,18%"
"06.08.2018","33.740,0","34.000,0","34.060,0","33.660,0","118,29K","-0,82%"
"03.08.2018","34.020,0","33.300,0","34.040,0","33.300,0","253,80K","2,66%"
"02.08.2018","33.140,0","33.360,0","33.480,0","32.880,0","947,27K","-2,41%"
"01.08.2018","33.960,0","33.220,0","33.960,0","33.180,0","485,19K","2,29%"
"31.07.2018","33.200,0","33.720,0","33.720,0","33.140,0","1,73M","-2,18%"
"30.07.2018","33.940,0","34.020,0","34.560,0","33.900,0","356,91K","-0,24%"
"27.07.2018","34.020,0","34.120,0","34.340,0","34.020,0","261,16K","0,00%"
"26.07.2018","34.020,0","33.540,0","34.180,0","33.540,0","308,85K","0,95%"
"25.07.2018","33.700,0","34.500,0","34.500,0","33.700,0","396,90K","-2,54%"
"24.07.2018","34.580,0","34.740,0","34.740,0","34.560,0","217,14K","-0,29%"
"23.07.2018","34.680,0","33.640,0","34.700,0","33.640,0","153,07K","0,41%"
"19.07.2018","34.540,0","34.700,0","34.700,0","34.400,0","281,09K","-0,75%"
"18.07.2018","34.800,0","35.200,0","35.200,0","34.760,0","338,13K","-0,23%"
"17.07.2018","34.880,0","35.220,0","35.300,0","34.880,0","187,45K","-1,08%"
"16.07.2018","35.260,0","34.980,0","35.380,0","34.980,0","155,83K","0,46%"
"13.07.2018","35.100,0","35.260,0","35.380,0","35.100,0","339,99K","-0,85%"
"12.07.2018","35.400,0","35.980,0","35.980,0","35.320,0","389,65K","-0,51%"
"11.07.2018","35.580,0","35.120,0","35.700,0","35.120,0","337,20K","-0,28%"
"10.07.2018","35.680,0","35.460,0","35.740,0","35.400,0","414,29K","0,45%"
"09.07.2018","35.520,0","35.640,0","36.200,0","35.380,0","381,93K","-1,39%"
"06.07.2018","36.020,0","35.880,0","36.180,0","35.800,0","428,41K","0,28%"
"05.07.2018","35.920,0","36.300,0","36.480,0","35.920,0","508,51K","-0,77%"
"04.07.2018","36.200,0","35.800,0","36.500,0","35.800,0","60,41K","0,61%"
"03.07.2018","35.980,0","35.240,0","36.680,0","35.220,0","391,47K","0,73%"
"29.06.2018","35.720,0","35.200,0","35.720,0","34.620,0","869,53K","1,48%"
"28.06.2018","35.200,0","34.300,0","35.340,0","34.300,0","710,90K","2,09%"
"27.06.2018","34.480,0","34.000,0","34.700,0","34.000,0","259,82K","0,00%"
"26.06.2018","34.480,0","33.700,0","34.480,0","33.700,0","345,93K","1,41%"
"25.06.2018","34.000,0","33.720,0","34.580,0","33.720,0","263,89K","-0,29%"
"22.06.2018","34.100,0","34.540,0","34.540,0","34.100,0","267,40K","-1,16%"
"21.06.2018","34.500,0","34.020,0","34.680,0","34.020,0","369,42K","0,88%"
"20.06.2018","34.200,0","34.120,0","34.240,0","33.740,0","803,60K","-0,29%"
"19.06.2018","34.300,0","34.500,0","34.700,0","34.120,0","970,93K","-1,04%"
"18.06.2018","34.660,0","34.000,0","34.800,0","33.500,0","640,84K","2,00%"
"15.06.2018","33.980,0","33.820,0","33.980,0","33.580,0","969,02K","0,65%"
"14.06.2018","33.760,0","33.800,0","34.100,0","33.740,0","650,31K","-1,23%"
