"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","8.200,0","8.490,0","8.490,0","8.000,0","132,16K","-1,44%"
"05.09.2018","8.320,0","8.610,0","8.610,0","8.320,0","546,03K","-3,37%"
"04.09.2018","8.610,0","8.740,0","8.740,0","8.600,0","314,56K","-2,38%"
"03.09.2018","8.820,0","8.800,0","9.100,0","8.800,0","37,14K","-2,22%"
"31.08.2018","9.020,0","8.750,0","9.020,0","8.720,0","249,89K","3,09%"
"30.08.2018","8.750,0","8.990,0","8.990,0","8.720,0","422,64K","-2,78%"
"29.08.2018","9.000,0","9.000,0","9.000,0","8.780,0","141,51K","0,56%"
"28.08.2018","8.950,0","8.970,0","9.080,0","8.950,0","238,89K","-0,56%"
"27.08.2018","9.000,0","9.030,0","9.080,0","9.000,0","542,53K","-1,10%"
"24.08.2018","9.100,0","9.070,0","9.230,0","9.070,0","430,38K","-0,66%"
"23.08.2018","9.160,0","9.170,0","9.170,0","9.110,0","97,31K","-0,11%"
"22.08.2018","9.170,0","9.210,0","9.300,0","9.110,0","485,23K","0,11%"
"21.08.2018","9.160,0","9.200,0","9.200,0","9.100,0","77,54K","0,66%"
"17.08.2018","9.100,0","9.100,0","9.100,0","9.050,0","602,53K","0,11%"
"16.08.2018","9.090,0","9.140,0","9.140,0","9.050,0","176,06K","0,44%"
"15.08.2018","9.050,0","9.020,0","9.100,0","9.000,0","257,32K","0,33%"
"14.08.2018","9.020,0","9.000,0","9.050,0","8.990,0","29,94K","0,67%"
"13.08.2018","8.960,0","9.000,0","9.000,0","8.960,0","93,20K","-0,99%"
"10.08.2018","9.050,0","9.200,0","9.200,0","9.050,0","30,36K","-1,63%"
"09.08.2018","9.200,0","9.290,0","9.290,0","9.100,0","248,72K","1,10%"
"08.08.2018","9.100,0","9.160,0","9.160,0","9.100,0","137,66K","2,25%"
"06.08.2018","8.900,0","9.030,0","9.180,0","8.900,0","123,83K","-3,26%"
"03.08.2018","9.200,0","9.200,0","9.200,0","9.020,0","114,96K","0,11%"
"02.08.2018","9.190,0","9.190,0","9.200,0","9.170,0","41,94K","-0,11%"
"01.08.2018","9.200,0","9.200,0","9.200,0","9.180,0","166,69K","0,00%"
"31.07.2018","9.200,0","9.400,0","9.400,0","9.200,0","417,50K","-0,97%"
"30.07.2018","9.290,0","9.260,0","9.350,0","9.260,0","231,03K","0,32%"
"27.07.2018","9.260,0","9.480,0","9.480,0","9.120,0","116,79K","-0,86%"
"26.07.2018","9.340,0","9.440,0","9.570,0","9.340,0","291,33K","-1,06%"
"25.07.2018","9.440,0","9.620,0","9.620,0","9.440,0","148,01K","-1,26%"
"24.07.2018","9.560,0","9.630,0","9.650,0","9.520,0","1,11M","-0,52%"
"23.07.2018","9.610,0","9.700,0","9.700,0","9.610,0","208,16K","-0,10%"
"19.07.2018","9.620,0","9.680,0","9.680,0","9.620,0","118,55K","-0,52%"
"18.07.2018","9.670,0","9.660,0","9.680,0","9.630,0","179,35K","0,10%"
"17.07.2018","9.660,0","9.690,0","9.690,0","9.640,0","112,08K","-0,10%"
"16.07.2018","9.670,0","9.610,0","9.790,0","9.610,0","601,65K","-0,41%"
"13.07.2018","9.710,0","9.800,0","9.800,0","9.700,0","589,42K","0,10%"
"12.07.2018","9.700,0","9.700,0","9.710,0","9.690,0","281,08K","-1,02%"
"11.07.2018","9.800,0","9.800,0","9.800,0","9.690,0","153,01K","0,00%"
"10.07.2018","9.800,0","9.690,0","9.800,0","9.680,0","258,94K","1,14%"
"09.07.2018","9.690,0","9.700,0","9.700,0","9.560,0","90,91K","-0,10%"
"06.07.2018","9.700,0","9.850,0","9.850,0","9.700,0","192,93K","-1,52%"
"05.07.2018","9.850,0","9.800,0","9.850,0","9.750,0","1,25M","0,31%"
"04.07.2018","9.820,0","9.830,0","9.830,0","9.810,0","71,09K","0,20%"
"03.07.2018","9.800,0","9.850,0","9.850,0","9.800,0","205,10K","0,00%"
"29.06.2018","9.800,0","9.790,0","9.850,0","9.690,0","712,35K","0,72%"
"28.06.2018","9.730,0","9.820,0","9.820,0","9.710,0","224,52K","0,21%"
"27.06.2018","9.710,0","9.800,0","9.840,0","9.710,0","725,86K","-0,41%"
"26.06.2018","9.750,0","9.600,0","9.800,0","9.550,0","1,04M","1,56%"
"25.06.2018","9.600,0","9.600,0","9.620,0","9.450,0","509,39K","0,00%"
"22.06.2018","9.600,0","9.520,0","9.600,0","9.500,0","1,19M","0,84%"
"21.06.2018","9.520,0","9.480,0","9.620,0","9.480,0","599,36K","0,42%"
"20.06.2018","9.480,0","9.420,0","9.550,0","9.420,0","606,42K","0,85%"
"19.06.2018","9.400,0","9.430,0","9.500,0","9.400,0","722,86K","-0,63%"
"18.06.2018","9.460,0","9.500,0","9.590,0","9.460,0","382,97K","0,64%"
"15.06.2018","9.400,0","9.510,0","9.510,0","9.400,0","1,20M","-1,47%"
"14.06.2018","9.540,0","9.650,0","9.650,0","9.540,0","639,25K","-0,63%"
"13.06.2018","9.600,0","9.580,0","9.650,0","9.540,0","362,09K","0,42%"
"12.06.2018","9.560,0","9.530,0","9.620,0","9.420,0","305,27K","0,42%"
"08.06.2018","9.520,0","9.320,0","9.520,0","9.320,0","114,92K","2,15%"
