"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.09.2018","7.660,0","7.700,0","7.700,0","7.360,0","57,08K","-0,52%"
"04.09.2018","7.700,0","7.740,0","7.760,0","7.700,0","24,05K","-0,26%"
"03.09.2018","7.720,0","7.720,0","7.720,0","7.720,0","1,43K","0,26%"
"31.08.2018","7.700,0","8.000,0","8.000,0","7.700,0","482,23K","-3,75%"
"30.08.2018","8.000,0","8.000,0","8.000,0","8.000,0","73,99K","-1,23%"
"29.08.2018","8.100,0","7.800,0","8.200,0","7.800,0","25,89K","0,00%"
"28.08.2018","8.100,0","8.000,0","8.100,0","8.000,0","28,36K","1,25%"
"27.08.2018","8.000,0","8.110,0","8.110,0","7.830,0","48,78K","-1,36%"
"24.08.2018","8.110,0","8.180,0","8.200,0","8.110,0","38,13K","-0,37%"
"23.08.2018","8.140,0","7.920,0","8.160,0","7.920,0","8,96K","-0,25%"
"22.08.2018","8.160,0","8.130,0","8.160,0","8.050,0","110,81K","0,37%"
"21.08.2018","8.130,0","7.920,0","8.160,0","7.920,0","10,01K","0,37%"
"17.08.2018","8.100,0","8.050,0","8.100,0","7.900,0","235,41K","0,00%"
"16.08.2018","8.100,0","8.000,0","8.100,0","7.850,0","226,89K","1,38%"
"15.08.2018","7.990,0","7.780,0","8.170,0","7.780,0","41,46K","1,40%"
"14.08.2018","7.880,0","7.880,0","7.880,0","7.880,0","7,72K","0,13%"
"13.08.2018","7.870,0","7.990,0","7.990,0","7.870,0","11,02K","-1,63%"
"09.08.2018","8.000,0","7.700,0","8.000,0","7.700,0","91,96K","0,63%"
"08.08.2018","7.950,0","7.800,0","7.950,0","7.800,0","26,24K","0,63%"
"06.08.2018","7.900,0","7.900,0","7.900,0","7.800,0","55,92K","0,51%"
"03.08.2018","7.860,0","7.840,0","7.870,0","7.830,0","16,91K","-1,13%"
"02.08.2018","7.950,0","7.940,0","7.980,0","7.940,0","55,53K","-0,50%"
"01.08.2018","7.990,0","8.000,0","8.010,0","7.900,0","49,96K","-0,13%"
"31.07.2018","8.000,0","8.050,0","8.200,0","7.980,0","293,39K","-0,50%"
"30.07.2018","8.040,0","8.010,0","8.100,0","8.010,0","5,37K","0,37%"
"27.07.2018","8.010,0","8.150,0","8.150,0","8.000,0","26,07K","-1,72%"
"26.07.2018","8.150,0","8.010,0","8.150,0","8.010,0","38,72K","1,88%"
"25.07.2018","8.000,0","8.250,0","8.250,0","8.000,0","65,67K","-1,48%"
"24.07.2018","8.120,0","8.250,0","8.250,0","8.120,0","19,67K","-2,17%"
"23.07.2018","8.300,0","8.160,0","8.300,0","8.160,0","23,53K","0,61%"
"19.07.2018","8.250,0","8.300,0","8.300,0","8.250,0","21,54K","-0,60%"
"18.07.2018","8.300,0","8.210,0","8.300,0","8.160,0","32,23K","0,00%"
"17.07.2018","8.300,0","8.400,0","8.400,0","8.290,0","57,66K","0,00%"
"16.07.2018","8.300,0","8.310,0","8.380,0","8.300,0","231,41K","-0,95%"
"13.07.2018","8.380,0","8.350,0","8.380,0","8.300,0","34,46K","0,12%"
"12.07.2018","8.370,0","8.390,0","8.390,0","8.370,0","21,41K","-1,99%"
"11.07.2018","8.540,0","8.520,0","8.540,0","8.400,0","33,86K","0,00%"
"10.07.2018","8.540,0","8.500,0","8.540,0","8.490,0","59,30K","0,47%"
"09.07.2018","8.500,0","8.500,0","8.520,0","8.500,0","39,19K","-0,58%"
"06.07.2018","8.550,0","8.580,0","8.580,0","8.550,0","4,95K","-1,04%"
"05.07.2018","8.640,0","8.300,0","8.640,0","8.300,0","28,25K","0,47%"
"04.07.2018","8.600,0","8.350,0","8.600,0","8.350,0","6,96K","-0,35%"
"03.07.2018","8.630,0","8.630,0","8.630,0","8.630,0","9,52K","0,35%"
"29.06.2018","8.600,0","8.630,0","8.630,0","8.560,0","1,04M","0,00%"
"28.06.2018","8.600,0","8.520,0","8.600,0","8.520,0","12,40K","0,94%"
"27.06.2018","8.520,0","8.600,0","8.600,0","8.520,0","560,84K","-0,93%"
"26.06.2018","8.600,0","8.240,0","8.600,0","8.240,0","517,08K","1,18%"
"25.06.2018","8.500,0","8.490,0","8.500,0","8.250,0","263,47K","0,12%"
"22.06.2018","8.490,0","8.400,0","8.500,0","8.400,0","13,44K","2,29%"
"21.06.2018","8.300,0","8.060,0","8.300,0","8.060,0","58,89K","1,72%"
"20.06.2018","8.160,0","8.080,0","8.250,0","8.080,0","384,77K","-0,49%"
