"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","4.645,0","4.645,0","4.645,0","4.645,0","-","-0,11%"
"03.07.2018","4.650,0","4.600,0","4.650,0","4.600,0","7,77K","0,11%"
"29.06.2018","4.645,0","4.645,0","4.645,0","4.625,0","226,41K","0,11%"
"28.06.2018","4.640,0","4.635,0","4.650,0","4.635,0","165,12K","0,11%"
"27.06.2018","4.635,0","4.650,0","4.650,0","4.610,0","394,46K","-0,32%"
"26.06.2018","4.650,0","4.640,0","4.650,0","4.610,0","160,50K","0,22%"
"25.06.2018","4.640,0","4.610,0","4.645,0","4.610,0","275,69K","0,00%"
"22.06.2018","4.640,0","4.600,0","4.640,0","4.600,0","163,51K","0,22%"
"21.06.2018","4.630,0","4.640,0","4.645,0","4.610,0","387,35K","-0,43%"
"20.06.2018","4.650,0","4.640,0","4.650,0","4.590,0","285,97K","1,86%"
"19.06.2018","4.565,0","4.630,0","4.635,0","4.565,0","179,82K","-2,25%"
"18.06.2018","4.670,0","4.680,0","4.700,0","4.670,0","305,67K","0,97%"
"15.06.2018","4.625,0","4.675,0","4.675,0","4.625,0","203,34K","-0,64%"
"14.06.2018","4.655,0","4.615,0","4.655,0","4.615,0","209,27K","1,20%"
"13.06.2018","4.600,0","4.625,0","4.690,0","4.600,0","205,76K","-1,60%"
"12.06.2018","4.675,0","4.675,0","4.675,0","4.660,0","104,95K","-0,21%"
"08.06.2018","4.685,0","4.680,0","4.690,0","4.675,0","303,48K","-0,21%"
"07.06.2018","4.695,0","4.690,0","4.740,0","4.670,0","1,37M","0,43%"
"06.06.2018","4.675,0","4.625,0","4.700,0","4.620,0","809,78K","0,97%"
"05.06.2018","4.630,0","4.630,0","4.630,0","4.590,0","53,63K","0,00%"
