"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","25.100,0","25.200,0","25.200,0","25.100,0","12,31K","-0,40%"
"03.07.2018","25.200,0","25.520,0","25.520,0","25.200,0","391,74K","-0,71%"
"29.06.2018","25.380,0","25.000,0","25.400,0","24.820,0","18,30K","1,44%"
"28.06.2018","25.020,0","25.100,0","25.400,0","24.740,0","25,35K","-1,03%"
"27.06.2018","25.280,0","25.200,0","25.280,0","24.900,0","16,04K","1,12%"
"26.06.2018","25.000,0","24.800,0","25.400,0","24.660,0","71,58K","0,40%"
"25.06.2018","24.900,0","24.220,0","24.900,0","24.220,0","38,05K","0,08%"
"22.06.2018","24.880,0","25.180,0","25.180,0","24.600,0","176,12K","-1,19%"
"21.06.2018","25.180,0","25.160,0","25.240,0","25.160,0","45,98K","0,08%"
"20.06.2018","25.160,0","25.160,0","25.380,0","25.160,0","36,31K","0,08%"
"19.06.2018","25.140,0","25.580,0","25.580,0","25.140,0","40,59K","-1,80%"
"18.06.2018","25.600,0","25.540,0","26.000,0","25.500,0","250,83K","1,43%"
"15.06.2018","25.240,0","25.520,0","25.660,0","25.240,0","117,84K","-1,10%"
"14.06.2018","25.520,0","25.740,0","25.740,0","25.480,0","467,71K","-0,23%"
"13.06.2018","25.580,0","25.500,0","25.700,0","25.500,0","83,38K","-0,39%"
"12.06.2018","25.680,0","25.340,0","25.700,0","25.340,0","41,97K","0,78%"
"08.06.2018","25.480,0","25.700,0","25.700,0","25.480,0","67,28K","0,31%"
"07.06.2018","25.400,0","25.500,0","25.700,0","25.400,0","121,69K","-0,70%"
"06.06.2018","25.580,0","26.000,0","26.000,0","25.580,0","142,45K","-0,85%"
"05.06.2018","25.800,0","25.280,0","25.800,0","25.280,0","25,21K","1,10%"
