"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","790,0","790,0","790,0","790,0","15,71K","0,13%"
"03.07.2018","790,0","790,0","790,0","790,0","15,71K","0,13%"
"29.06.2018","789,0","789,0","789,0","789,0","31,95K","-0,13%"
"28.06.2018","790,0","790,0","790,0","785,0","48,06K","-1,25%"
"27.06.2018","800,0","800,0","800,0","800,0","21,48K","-1,84%"
"26.06.2018","815,0","815,0","815,0","815,0","69,76K","3,43%"
"25.06.2018","788,0","751,0","789,0","751,0","45,09K","-0,25%"
"22.06.2018","790,0","789,0","790,0","789,0","49,04K","0,00%"
"21.06.2018","790,0","790,0","790,0","772,0","135,17K","0,00%"
"20.06.2018","790,0","780,0","790,0","780,0","101,16K","1,15%"
"19.06.2018","781,0","776,0","781,0","776,0","136,37K","0,00%"
"18.06.2018","781,0","781,0","781,0","781,0","20,20K","0,26%"
"15.06.2018","775,0","780,0","780,0","780,0","37,58K","0,76%"
"14.06.2018","779,0","779,0","779,0","779,0","54,58K","1,17%"
"13.06.2018","770,0","770,0","770,0","770,0","18,52K","-1,41%"
"12.06.2018","776,0","776,0","776,0","776,0","18,52K","-0,7%"
"08.06.2018","781,0","781,0","781,0","781,0","24,58K","0,00%"
"07.06.2018","781,0","803,0","803,0","781,0","63,58K","-2,70%"
"06.06.2018","781,0","825,0","825,0","780,0","127,45K","-5,45%"
"05.06.2018","826,0","826,0","826,0","826,0","120,82K","4,56%"
