"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","6.210,0","6.300,0","6.300,0","6.200,0","56,98K","-1,27%"
"05.09.2018","6.290,0","6.280,0","6.300,0","6.210,0","154,88K","-0,16%"
"04.09.2018","6.300,0","6.300,0","6.300,0","6.300,0","333,40K","0,00%"
"03.09.2018","6.300,0","6.290,0","6.300,0","6.290,0","15,25K","0,00%"
"31.08.2018","6.300,0","6.350,0","6.350,0","6.280,0","322,96K","0,00%"
"30.08.2018","6.300,0","6.330,0","6.350,0","6.290,0","111,78K","-0,47%"
"29.08.2018","6.330,0","6.100,0","6.390,0","6.090,0","248,23K","3,77%"
"28.08.2018","6.100,0","6.000,0","6.210,0","5.990,0","455,23K","1,67%"
"27.08.2018","6.000,0","6.220,0","6.220,0","5.900,0","610,20K","-5,81%"
"24.08.2018","6.370,0","6.390,0","6.390,0","6.260,0","291,63K","-0,31%"
"23.08.2018","6.390,0","6.680,0","6.680,0","6.200,0","233,28K","-4,34%"
"22.08.2018","6.680,0","6.850,0","6.850,0","6.680,0","80,81K","-2,48%"
"21.08.2018","6.850,0","6.850,0","6.850,0","6.800,0","26,00K","-0,72%"
"17.08.2018","6.900,0","6.840,0","6.900,0","6.840,0","29,82K","0,88%"
"16.08.2018","6.840,0","7.040,0","7.050,0","6.840,0","159,63K","-2,98%"
"15.08.2018","7.050,0","7.050,0","7.050,0","6.970,0","44,11K","-1,54%"
"14.08.2018","7.160,0","7.100,0","7.250,0","7.100,0","102,64K","-0,56%"
"13.08.2018","7.200,0","7.200,0","7.200,0","7.150,0","215,69K","-0,69%"
"10.08.2018","7.250,0","7.290,0","7.290,0","7.200,0","15,40K","-0,68%"
"09.08.2018","7.300,0","7.260,0","7.300,0","7.200,0","161,40K","0,55%"
"08.08.2018","7.260,0","7.430,0","7.430,0","7.260,0","122,08K","-3,20%"
"06.08.2018","7.500,0","7.400,0","7.600,0","7.400,0","32,76K","-2,60%"
"03.08.2018","7.700,0","7.690,0","7.700,0","7.690,0","133,24K","0,65%"
"02.08.2018","7.650,0","7.300,0","7.650,0","7.300,0","52,30K","3,38%"
"01.08.2018","7.400,0","7.360,0","7.400,0","7.350,0","99,18K","1,37%"
"31.07.2018","7.300,0","7.200,0","7.380,0","7.200,0","686,32K","0,83%"
"30.07.2018","7.240,0","7.130,0","7.250,0","7.100,0","306,49K","0,70%"
"27.07.2018","7.190,0","7.400,0","7.400,0","7.110,0","223,00K","-3,88%"
"26.07.2018","7.480,0","7.600,0","7.860,0","7.450,0","134,57K","-1,58%"
"25.07.2018","7.600,0","7.800,0","7.800,0","7.600,0","3,06M","-2,56%"
"24.07.2018","7.800,0","7.780,0","7.830,0","7.780,0","231,56K","0,52%"
"23.07.2018","7.760,0","7.830,0","7.860,0","7.760,0","21,37K","0,91%"
"19.07.2018","7.690,0","7.600,0","7.900,0","7.600,0","24,33K","-1,66%"
"18.07.2018","7.820,0","7.960,0","7.960,0","7.820,0","42,47K","-2,13%"
"17.07.2018","7.990,0","8.150,0","8.150,0","7.890,0","58,04K","0,00%"
"16.07.2018","7.990,0","7.990,0","8.000,0","7.900,0","236,51K","-1,72%"
"13.07.2018","8.130,0","8.150,0","8.200,0","8.130,0","760,82K","0,62%"
"12.07.2018","8.080,0","8.080,0","8.080,0","8.080,0","1,94K","-1,22%"
"11.07.2018","8.180,0","8.200,0","8.200,0","8.180,0","61,73K","-1,45%"
"10.07.2018","8.300,0","8.260,0","8.300,0","8.120,0","132,11K","1,72%"
"09.07.2018","8.160,0","8.000,0","8.300,0","8.000,0","19,22K","2,00%"
"06.07.2018","8.000,0","8.060,0","8.100,0","7.910,0","183,82K","-2,32%"
"05.07.2018","8.190,0","8.300,0","8.300,0","8.190,0","173,21K","0,37%"
"04.07.2018","8.160,0","8.160,0","8.160,0","8.160,0","4,60K","0,25%"
"03.07.2018","8.140,0","8.400,0","8.400,0","8.140,0","65,11K","-1,93%"
"29.06.2018","8.300,0","8.360,0","8.400,0","8.300,0","228,46K","1,22%"
"28.06.2018","8.200,0","8.380,0","8.380,0","8.200,0","88,95K","-2,15%"
"27.06.2018","8.380,0","8.400,0","8.400,0","8.380,0","55,89K","-0,24%"
"26.06.2018","8.400,0","8.280,0","8.400,0","8.280,0","137,92K","0,00%"
"25.06.2018","8.400,0","8.450,0","8.550,0","8.300,0","150,73K","-0,59%"
"22.06.2018","8.450,0","8.570,0","8.570,0","8.450,0","38,22K","-1,40%"
