"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.09.2018","9.400,0","9.480,0","9.480,0","9.400,0","88,00K","-2,89%"
"04.09.2018","9.680,0","9.700,0","9.700,0","9.680,0","12,97K","4,09%"
"03.09.2018","9.300,0","9.300,0","9.300,0","9.300,0","1,16K","-4,12%"
"31.08.2018","9.700,0","9.700,0","9.750,0","9.700,0","13,71K","0,00%"
"30.08.2018","9.700,0","9.640,0","9.720,0","9.590,0","91,69K","2,75%"
"29.08.2018","9.440,0","9.550,0","9.550,0","9.440,0","63,68K","1,51%"
"28.08.2018","9.300,0","9.440,0","9.440,0","9.300,0","16,04K","-2,62%"
"27.08.2018","9.550,0","9.300,0","9.550,0","9.300,0","14,06K","2,69%"
"24.08.2018","9.300,0","9.380,0","9.380,0","9.300,0","6,40K","-1,06%"
"23.08.2018","9.400,0","9.590,0","9.600,0","9.300,0","25,94K","-2,59%"
"22.08.2018","9.650,0","9.700,0","9.700,0","9.500,0","12,35K","-0,52%"
"21.08.2018","9.700,0","9.700,0","9.760,0","9.600,0","42,05K","0,00%"
"17.08.2018","9.700,0","9.600,0","9.700,0","9.600,0","10,97K","1,04%"
"16.08.2018","9.600,0","9.550,0","9.600,0","9.540,0","107,41K","0,52%"
"15.08.2018","9.550,0","9.460,0","9.550,0","9.460,0","32,44K","0,00%"
"14.08.2018","9.550,0","9.480,0","9.550,0","9.190,0","6,70K","-0,31%"
"13.08.2018","9.580,0","9.580,0","9.580,0","9.300,0","28,28K","0,42%"
"10.08.2018","9.540,0","9.540,0","9.540,0","9.540,0","2,51K","0,00%"
"09.08.2018","9.540,0","9.550,0","9.550,0","9.540,0","25,54K","-0,10%"
"08.08.2018","9.550,0","9.500,0","9.550,0","9.500,0","12,27K","0,42%"
"03.08.2018","9.510,0","9.500,0","9.510,0","9.500,0","11,39K","0,11%"
"02.08.2018","9.500,0","9.490,0","9.500,0","9.470,0","20,33K","0,21%"
"01.08.2018","9.480,0","9.480,0","9.480,0","9.480,0","3,11K","2,05%"
"31.07.2018","9.290,0","9.250,0","9.490,0","9.250,0","21,49K","-1,80%"
"30.07.2018","9.460,0","9.300,0","9.460,0","9.290,0","4,65K","-0,42%"
"27.07.2018","9.500,0","9.260,0","9.500,0","9.250,0","15,46K","1,50%"
"26.07.2018","9.360,0","9.380,0","9.380,0","9.320,0","19,94K","-0,21%"
"25.07.2018","9.380,0","9.340,0","9.390,0","9.320,0","200,94K","0,54%"
"24.07.2018","9.330,0","9.260,0","9.350,0","9.260,0","23,80K","-0,74%"
"23.07.2018","9.400,0","9.230,0","9.400,0","9.220,0","5,80K","0,53%"
"19.07.2018","9.350,0","9.130,0","9.350,0","9.130,0","6,34K","2,30%"
"18.07.2018","9.140,0","9.080,0","9.140,0","9.080,0","45,09K","0,44%"
"17.07.2018","9.100,0","9.110,0","9.120,0","9.100,0","7,51K","-0,76%"
"16.07.2018","9.170,0","9.150,0","9.170,0","9.150,0","12,00K","-0,33%"
"13.07.2018","9.200,0","9.160,0","9.200,0","9.160,0","24,15K","-0,22%"
"12.07.2018","9.220,0","9.250,0","9.250,0","9.220,0","4,07K","-1,91%"
"11.07.2018","9.400,0","9.390,0","9.470,0","9.390,0","22,02K","0,11%"
"10.07.2018","9.390,0","9.400,0","9.400,0","9.390,0","8,45K","-0,11%"
"06.07.2018","9.400,0","9.300,0","9.400,0","9.200,0","5,20K","0,11%"
"05.07.2018","9.390,0","9.400,0","9.410,0","9.390,0","61,72K","-3,20%"
"03.07.2018","9.700,0","9.480,0","9.700,0","9.350,0","20,50K","1,04%"
"29.06.2018","9.600,0","9.510,0","9.600,0","9.420,0","26,63K","0,73%"
