"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","37.160,0","37.080,0","37.160,0","37.080,0","1,99K","0,22%"
"03.07.2018","37.080,0","36.240,0","37.500,0","36.240,0","173,56K","0,22%"
"29.06.2018","37.000,0","35.700,0","37.000,0","35.700,0","33,55K","3,64%"
"28.06.2018","35.700,0","35.320,0","35.780,0","35.300,0","48,18K","-0,39%"
"27.06.2018","35.840,0","35.440,0","36.000,0","35.300,0","242,55K","-0,44%"
"26.06.2018","36.000,0","35.000,0","36.000,0","35.000,0","102,45K","1,18%"
"25.06.2018","35.580,0","35.300,0","35.580,0","35.300,0","17,37K","0,57%"
"22.06.2018","35.380,0","35.300,0","35.580,0","35.240,0","155,81K","0,23%"
"21.06.2018","35.300,0","35.440,0","35.440,0","35.300,0","77,96K","-0,40%"
"20.06.2018","35.440,0","35.620,0","35.700,0","35.400,0","146,79K","-0,34%"
"19.06.2018","35.560,0","35.400,0","35.560,0","35.300,0","62,64K","0,45%"
"18.06.2018","35.400,0","35.500,0","35.580,0","35.320,0","151,80K","0,57%"
"15.06.2018","35.200,0","35.580,0","35.580,0","35.200,0","212,34K","-1,07%"
"14.06.2018","35.580,0","35.300,0","35.700,0","35.300,0","339,93K","0,85%"
"13.06.2018","35.280,0","35.580,0","35.940,0","35.100,0","329,62K","-1,18%"
"12.06.2018","35.700,0","35.380,0","36.100,0","35.380,0","275,92K","0,00%"
"08.06.2018","35.700,0","35.360,0","35.740,0","35.260,0","82,14K","0,96%"
"07.06.2018","35.360,0","35.200,0","35.360,0","34.600,0","501,46K","0,45%"
"06.06.2018","35.200,0","34.800,0","35.200,0","34.500,0","275,41K","1,15%"
"05.06.2018","34.800,0","34.740,0","34.800,0","34.220,0","169,34K","0,17%"
