"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","2.915,0","2.930,0","2.930,0","2.900,0","1,72M","-0,51%"
"03.07.2018","2.930,0","3.025,0","3.050,0","2.930,0","6,26M","-3,14%"
"29.06.2018","3.025,0","2.995,0","3.030,0","2.985,0","12,67M","1,34%"
"28.06.2018","2.985,0","2.950,0","3.005,0","2.950,0","8,54M","0,51%"
"27.06.2018","2.970,0","2.910,0","2.985,0","2.910,0","11,12M","2,95%"
"26.06.2018","2.885,0","2.825,0","2.910,0","2.800,0","12,07M","2,30%"
"25.06.2018","2.820,0","2.860,0","2.870,0","2.820,0","6,01M","-2,08%"
"22.06.2018","2.880,0","2.890,0","2.915,0","2.880,0","13,62M","1,23%"
"21.06.2018","2.845,0","2.870,0","2.890,0","2.830,0","16,29M","-1,04%"
"20.06.2018","2.875,0","2.905,0","2.965,0","2.875,0","19,88M","-1,03%"
"19.06.2018","2.905,0","2.980,0","2.995,0","2.905,0","8,41M","-2,68%"
"18.06.2018","2.985,0","2.980,0","3.050,0","2.970,0","11,01M","0,84%"
"15.06.2018","2.960,0","2.980,0","2.985,0","2.950,0","22,55M","-1,50%"
"14.06.2018","3.005,0","3.015,0","3.035,0","3.000,0","6,62M","-0,17%"
"13.06.2018","3.010,0","2.990,0","3.025,0","2.955,0","6,43M","0,17%"
"12.06.2018","3.005,0","3.030,0","3.040,0","3.000,0","9,58M","-1,31%"
"08.06.2018","3.045,0","3.060,0","3.095,0","3.035,0","6,24M","-0,49%"
"07.06.2018","3.060,0","3.015,0","3.080,0","3.015,0","6,63M","1,49%"
"06.06.2018","3.015,0","3.080,0","3.105,0","3.005,0","11,05M","-2,11%"
"05.06.2018","3.080,0","3.080,0","3.105,0","3.040,0","10,74M","-0,96%"
