"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","2.030,0","2.060,0","2.065,0","2.020,0","6,10M","-1,69%"
"05.09.2018","2.065,0","2.050,0","2.065,0","2.045,0","1,44M","0,00%"
"04.09.2018","2.065,0","2.055,0","2.065,0","2.055,0","1,34M","0,49%"
"03.09.2018","2.055,0","2.045,0","2.055,0","2.045,0","440,29K","0,49%"
"31.08.2018","2.045,0","2.045,0","2.045,0","2.040,0","857,39K","0,00%"
"30.08.2018","2.045,0","2.060,0","2.065,0","2.045,0","1,73M","-1,21%"
"29.08.2018","2.070,0","2.050,0","2.070,0","2.050,0","844,28K","0,98%"
"28.08.2018","2.050,0","2.035,0","2.055,0","2.035,0","265,19K","0,49%"
"27.08.2018","2.040,0","2.030,0","2.040,0","2.030,0","1,06M","0,49%"
"24.08.2018","2.030,0","2.025,0","2.030,0","2.020,0","824,22K","0,00%"
"23.08.2018","2.030,0","2.025,0","2.030,0","2.020,0","439,88K","0,25%"
"22.08.2018","2.025,0","2.020,0","2.030,0","2.020,0","985,88K","0,00%"
"21.08.2018","2.025,0","2.020,0","2.025,0","2.020,0","714,25K","0,25%"
"17.08.2018","2.020,0","2.020,0","2.025,0","2.020,0","1,61M","0,00%"
"16.08.2018","2.020,0","2.020,0","2.025,0","2.015,0","3,65M","0,00%"
"15.08.2018","2.020,0","2.015,0","2.020,0","2.010,0","1,22M","0,25%"
"14.08.2018","2.015,0","2.015,0","2.020,0","2.015,0","221,41K","0,00%"
"13.08.2018","2.015,0","2.010,0","2.015,0","2.005,0","1,33M","0,25%"
"10.08.2018","2.010,0","2.010,0","2.010,0","2.005,0","350,18K","-0,25%"
"09.08.2018","2.015,0","2.005,0","2.015,0","2.005,0","6,63M","0,25%"
"08.08.2018","2.010,0","2.010,0","2.010,0","2.005,0","443,50K","0,00%"
"06.08.2018","2.010,0","2.010,0","2.010,0","2.005,0","221,53K","0,00%"
"03.08.2018","2.010,0","2.010,0","2.015,0","2.005,0","3,55M","0,00%"
"02.08.2018","2.010,0","2.010,0","2.015,0","2.005,0","6,32M","0,00%"
"01.08.2018","2.010,0","2.010,0","2.010,0","2.005,0","1,68M","0,00%"
"31.07.2018","2.010,0","2.005,0","2.010,0","2.005,0","2,69M","0,50%"
"30.07.2018","2.000,0","2.020,0","2.020,0","2.000,0","1,50M","-0,74%"
"27.07.2018","2.015,0","2.015,0","2.020,0","2.010,0","2,89M","0,00%"
"26.07.2018","2.015,0","2.020,0","2.025,0","2.005,0","4,19M","0,00%"
"25.07.2018","2.015,0","2.025,0","2.030,0","2.015,0","1,28M","-0,74%"
"24.07.2018","2.030,0","2.025,0","2.030,0","2.020,0","405,47K","0,50%"
"23.07.2018","2.020,0","2.030,0","2.030,0","2.020,0","368,75K","-0,74%"
"19.07.2018","2.035,0","2.035,0","2.045,0","2.035,0","367,53K","0,00%"
"18.07.2018","2.035,0","2.025,0","2.035,0","2.025,0","738,29K","0,49%"
"17.07.2018","2.025,0","2.030,0","2.030,0","2.025,0","1,78M","-0,25%"
"16.07.2018","2.030,0","2.030,0","2.030,0","2.025,0","2,31M","0,25%"
"13.07.2018","2.025,0","2.030,0","2.030,0","2.025,0","1,20M","-0,25%"
"12.07.2018","2.030,0","2.030,0","2.030,0","2.025,0","1,28M","0,00%"
"11.07.2018","2.030,0","2.030,0","2.030,0","2.025,0","1,01M","0,25%"
"10.07.2018","2.025,0","2.030,0","2.030,0","2.025,0","937,79K","-0,25%"
"09.07.2018","2.030,0","2.035,0","2.035,0","2.030,0","358,12K","0,25%"
"06.07.2018","2.025,0","2.035,0","2.035,0","2.025,0","755,58K","0,00%"
