"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","352,0","345,0","352,0","345,0","208,17K","-3,03%"
"04.09.2018","363,0","363,0","363,0","363,0","45,18K","6,76%"
"31.08.2018","340,0","341,0","341,0","340,0","603,23K","-4,76%"
"29.08.2018","357,0","338,0","357,0","338,0","291,49K","5,62%"
"28.08.2018","338,0","338,0","338,0","332,0","365,76K","-2,03%"
"27.08.2018","345,0","348,0","348,0","345,0","213,85K","-1,99%"
"24.08.2018","352,0","354,0","354,0","350,0","335,42K","-0,85%"
"23.08.2018","355,0","357,0","357,0","354,0","455,88K","-2,20%"
"22.08.2018","363,0","358,0","363,0","358,0","164,64K","-0,55%"
"21.08.2018","365,0","358,0","365,0","357,0","216,40K","1,11%"
"16.08.2018","361,0","361,0","362,0","355,0","456,38K","5,56%"
"15.08.2018","342,0","359,0","369,0","342,0","490,19K","-8,06%"
"14.08.2018","372,0","360,0","372,0","360,0","189,94K","0,54%"
"13.08.2018","370,0","373,0","373,0","361,0","919,61K","-2,37%"
"10.08.2018","379,0","368,0","379,0","368,0","284,86K","0,00%"
"09.08.2018","379,0","370,0","379,0","369,0","333,97K","-0,26%"
"08.08.2018","380,0","376,0","380,0","370,0","420,47K","0,00%"
"06.08.2018","380,0","376,0","380,0","376,0","197,68K","0,00%"
"03.08.2018","380,0","363,0","380,0","363,0","89,53K","-1,81%"
"31.07.2018","387,0","387,0","387,0","387,0","131,47K","6,03%"
"30.07.2018","365,0","360,0","365,0","360,0","56,43K","0,27%"
"27.07.2018","364,0","358,0","364,0","358,0","129,25K","-0,27%"
"25.07.2018","365,0","359,0","365,0","359,0","149,99K","0,00%"
"24.07.2018","365,0","365,0","365,0","359,0","692,53K","0,00%"
"23.07.2018","365,0","360,0","365,0","360,0","48,46K","0,00%"
"18.07.2018","365,0","359,0","365,0","359,0","88,78K","0,00%"
"17.07.2018","365,0","360,0","365,0","359,0","13,04M","1,11%"
"16.07.2018","361,0","363,0","363,0","361,0","199,84K","-0,55%"
"13.07.2018","363,0","366,0","367,0","363,0","287,27K","-0,82%"
"12.07.2018","366,0","370,0","372,0","365,0","365,49K","-1,08%"
