"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","1.190,0","1.210,0","1.210,0","1.190,0","26,89K","-1,65%"
"03.07.2018","1.190,0","1.210,0","1.210,0","1.190,0","26,89K","-1,65%"
"29.06.2018","1.210,0","1.210,0","1.210,0","1.210,0","34,15K","-1,22%"
"28.06.2018","1.225,0","1.200,0","1.225,0","1.190,0","87,45K","0,41%"
"27.06.2018","1.220,0","1.200,0","1.220,0","1.200,0","347,49K","2,09%"
"26.06.2018","1.195,0","1.195,0","1.195,0","1.195,0","40,92K","-0,42%"
"25.06.2018","1.200,0","1.200,0","1.200,0","1.200,0","75,27K","0,84%"
"22.06.2018","1.190,0","1.205,0","1.205,0","1.190,0","34,22K","-1,24%"
"21.06.2018","1.205,0","1.200,0","1.220,0","1.200,0","151,08K","0,42%"
"20.06.2018","1.200,0","1.215,0","1.215,0","1.200,0","284,10K","-1,64%"
"19.06.2018","1.220,0","1.215,0","1.225,0","1.215,0","154,13K","0,00%"
"18.06.2018","1.220,0","1.220,0","1.240,0","1.220,0","91,27K","0,00%"
"15.06.2018","1.220,0","1.220,0","1.220,0","1.220,0","513,04K","-0,41%"
"14.06.2018","1.225,0","1.235,0","1.235,0","1.225,0","110,15K","-0,41%"
"13.06.2018","1.230,0","1.225,0","1.230,0","1.225,0","67,41K","0,00%"
"12.06.2018","1.230,0","1.230,0","1.230,0","1.230,0","9,06K","0,20%"
"08.06.2018","1.232,0","1.232,0","1.235,0","1.230,0","360,06K","-0,40%"
"07.06.2018","1.235,0","1.230,0","1.240,0","1.230,0","725,98K","0,82%"
"06.06.2018","1.225,0","1.240,0","1.240,0","1.225,0","165,64K","-1,21%"
"05.06.2018","1.240,0","1.225,0","1.245,0","1.220,0","479,62K","0,00%"
