"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","1.220,0","1.205,0","1.220,0","1.205,0","448,78K","1,24%"
"03.07.2018","1.205,0","1.225,0","1.225,0","1.205,0","3,55M","-2,03%"
"29.06.2018","1.230,0","1.220,0","1.230,0","1.220,0","4,10M","0,41%"
"28.06.2018","1.225,0","1.230,0","1.240,0","1.225,0","2,11M","-0,81%"
"27.06.2018","1.235,0","1.205,0","1.235,0","1.205,0","5,67M","1,23%"
"26.06.2018","1.220,0","1.185,0","1.220,0","1.180,0","8,14M","2,52%"
"25.06.2018","1.190,0","1.190,0","1.205,0","1.190,0","2,81M","0,00%"
"22.06.2018","1.190,0","1.205,0","1.205,0","1.190,0","3,12M","-1,24%"
"21.06.2018","1.205,0","1.210,0","1.210,0","1.200,0","5,72M","-0,41%"
"20.06.2018","1.210,0","1.215,0","1.220,0","1.210,0","4,94M","-0,41%"
"19.06.2018","1.215,0","1.225,0","1.225,0","1.215,0","3,08M","-0,82%"
"18.06.2018","1.225,0","1.230,0","1.240,0","1.225,0","6,93M","-1,21%"
"15.06.2018","1.240,0","1.230,0","1.240,0","1.225,0","18,74M","0,81%"
"14.06.2018","1.230,0","1.230,0","1.240,0","1.230,0","10,00M","0,00%"
"13.06.2018","1.230,0","1.240,0","1.240,0","1.230,0","3,70M","-0,81%"
"12.06.2018","1.240,0","1.240,0","1.245,0","1.235,0","13,99M","0,00%"
"08.06.2018","1.240,0","1.240,0","1.245,0","1.235,0","3,07M","-0,40%"
"07.06.2018","1.245,0","1.235,0","1.250,0","1.235,0","4,67M","0,00%"
"06.06.2018","1.245,0","1.235,0","1.245,0","1.230,0","1,64M","0,81%"
"05.06.2018","1.235,0","1.240,0","1.250,0","1.235,0","4,88M","-1,20%"
