"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","14.720,0","15.280,0","15.280,0","14.680,0","105,42K","-3,54%"
"05.09.2018","15.260,0","15.620,0","15.620,0","15.260,0","135,28K","-2,43%"
"04.09.2018","15.640,0","15.820,0","15.840,0","15.640,0","52,38K","-1,14%"
"03.09.2018","15.820,0","15.860,0","15.860,0","15.720,0","31,42K","-0,25%"
"31.08.2018","15.860,0","15.860,0","15.940,0","15.800,0","444,61K","-0,88%"
"30.08.2018","16.000,0","15.900,0","16.040,0","15.860,0","313,13K","-0,37%"
"29.08.2018","16.060,0","16.040,0","16.060,0","15.980,0","49,08K","0,00%"
"28.08.2018","16.060,0","15.920,0","16.060,0","15.920,0","635,38K","0,00%"
"27.08.2018","16.060,0","16.000,0","16.180,0","15.960,0","114,15K","0,88%"
"24.08.2018","15.920,0","15.900,0","16.080,0","15.900,0","150,64K","-0,50%"
"23.08.2018","16.000,0","16.080,0","16.140,0","16.000,0","49,02K","-0,62%"
"22.08.2018","16.100,0","16.220,0","16.300,0","16.060,0","158,24K","-0,74%"
"21.08.2018","16.220,0","16.000,0","16.220,0","15.960,0","100,08K","1,38%"
"17.08.2018","16.000,0","16.020,0","16.100,0","15.980,0","718,97K","0,00%"
"16.08.2018","16.000,0","16.100,0","16.160,0","16.000,0","107,14K","0,00%"
"15.08.2018","16.000,0","16.000,0","16.180,0","15.940,0","134,89K","0,00%"
"14.08.2018","16.000,0","15.920,0","16.120,0","15.900,0","33,64K","0,13%"
"13.08.2018","15.980,0","15.900,0","15.980,0","15.820,0","116,58K","0,63%"
"10.08.2018","15.880,0","15.900,0","16.000,0","15.820,0","389,07K","-0,75%"
"09.08.2018","16.000,0","16.100,0","16.100,0","15.960,0","202,85K","-0,12%"
"08.08.2018","16.020,0","16.000,0","16.060,0","16.000,0","104,59K","-0,12%"
"06.08.2018","16.040,0","16.180,0","16.300,0","16.040,0","44,22K","-1,96%"
"03.08.2018","16.360,0","16.360,0","16.380,0","16.240,0","45,83K","0,49%"
"02.08.2018","16.280,0","16.360,0","16.380,0","16.280,0","303,69K","-0,25%"
"01.08.2018","16.320,0","16.240,0","16.360,0","16.240,0","137,47K","0,49%"
"31.07.2018","16.240,0","16.300,0","16.340,0","16.240,0","193,08K","-0,98%"
"30.07.2018","16.400,0","16.340,0","16.420,0","16.340,0","97,92K","0,24%"
"27.07.2018","16.360,0","16.240,0","16.360,0","16.240,0","63,35K","0,62%"
"26.07.2018","16.260,0","16.140,0","16.260,0","16.140,0","318,43K","1,12%"
"25.07.2018","16.080,0","16.260,0","16.300,0","16.080,0","165,37K","-0,86%"
"24.07.2018","16.220,0","16.240,0","16.300,0","16.200,0","114,60K","0,00%"
"23.07.2018","16.220,0","16.240,0","16.240,0","16.200,0","514,63K","-0,12%"
"19.07.2018","16.240,0","16.180,0","16.280,0","16.180,0","263,89K","0,25%"
"18.07.2018","16.200,0","16.180,0","16.200,0","16.080,0","293,04K","0,25%"
"17.07.2018","16.160,0","16.280,0","16.300,0","16.160,0","356,58K","-0,74%"
"16.07.2018","16.280,0","16.140,0","16.280,0","16.120,0","632,10K","0,87%"
"13.07.2018","16.140,0","16.140,0","16.180,0","16.100,0","364,29K","0,00%"
"12.07.2018","16.140,0","16.060,0","16.180,0","16.060,0","406,08K","0,25%"
"11.07.2018","16.100,0","15.960,0","16.140,0","15.960,0","793,53K","0,00%"
"10.07.2018","16.100,0","16.000,0","16.120,0","16.000,0","227,13K","0,12%"
"09.07.2018","16.080,0","16.040,0","16.080,0","16.000,0","274,66K","0,50%"
"06.07.2018","16.000,0","16.020,0","16.120,0","16.000,0","104,23K","-0,12%"
"05.07.2018","16.020,0","16.200,0","16.260,0","15.980,0","1,09M","-0,99%"
"04.07.2018","16.180,0","16.120,0","16.180,0","16.100,0","489,37K","0,50%"
"03.07.2018","16.100,0","16.200,0","16.240,0","16.080,0","151,71K","-0,62%"
"29.06.2018","16.200,0","15.960,0","16.200,0","15.960,0","170,16K","1,63%"
"28.06.2018","15.940,0","16.080,0","16.260,0","15.940,0","175,61K","-0,99%"
"27.06.2018","16.100,0","16.100,0","16.360,0","16.100,0","236,52K","-0,49%"
"26.06.2018","16.180,0","16.100,0","16.400,0","16.100,0","169,00K","0,25%"
"25.06.2018","16.140,0","15.920,0","16.140,0","15.900,0","54,94K","1,38%"
"22.06.2018","15.920,0","16.200,0","16.200,0","15.920,0","128,76K","-1,61%"
