"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.07.2018","14.500,0","14.060,0","14.500,0","14.060,0","34,48K","3,42%"
"03.07.2018","14.020,0","14.680,0","14.680,0","14.020,0","229,56K","-3,31%"
"29.06.2018","14.500,0","14.320,0","14.660,0","14.320,0","907,43K","0,69%"
"28.06.2018","14.400,0","14.200,0","14.720,0","14.200,0","747,74K","1,27%"
"27.06.2018","14.220,0","14.100,0","14.440,0","14.100,0","486,54K","-0,28%"
"26.06.2018","14.260,0","13.720,0","14.300,0","13.720,0","392,48K","2,59%"
"25.06.2018","13.900,0","13.680,0","13.960,0","13.680,0","296,14K","1,76%"
"22.06.2018","13.660,0","13.680,0","13.880,0","13.660,0","327,62K","-0,29%"
"21.06.2018","13.700,0","13.640,0","13.800,0","13.620,0","1,41M","0,44%"
"20.06.2018","13.640,0","13.840,0","14.000,0","13.640,0","600,79K","-0,58%"
"19.06.2018","13.720,0","14.020,0","14.160,0","13.720,0","560,40K","-2,83%"
"18.06.2018","14.120,0","14.280,0","14.500,0","14.080,0","581,71K","0,86%"
"15.06.2018","14.000,0","14.320,0","14.560,0","14.000,0","985,10K","-2,91%"
"14.06.2018","14.420,0","14.440,0","14.600,0","14.420,0","299,13K","-1,23%"
"13.06.2018","14.600,0","14.400,0","14.740,0","14.400,0","324,76K","-1,08%"
"12.06.2018","14.760,0","14.480,0","14.820,0","14.480,0","404,70K","0,82%"
"08.06.2018","14.640,0","14.360,0","14.640,0","14.360,0","500,09K","0,55%"
"07.06.2018","14.560,0","14.160,0","14.580,0","14.160,0","307,04K","1,11%"
"06.06.2018","14.400,0","14.420,0","14.600,0","14.280,0","318,69K","0,14%"
"05.06.2018","14.380,0","14.400,0","14.480,0","14.220,0","531,23K","-0,14%"
