"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","26.500,0","26.580,0","26.580,0","26.500,0","397,97K","-0,30%"
"05.09.2018","26.580,0","26.500,0","26.600,0","26.500,0","213,75K","0,23%"
"04.09.2018","26.520,0","26.540,0","26.640,0","26.520,0","110,32K","-0,60%"
"03.09.2018","26.680,0","26.660,0","26.680,0","26.640,0","10,20K","0,00%"
"31.08.2018","26.680,0","26.620,0","26.680,0","26.420,0","68,97K","0,23%"
"30.08.2018","26.620,0","26.600,0","26.700,0","26.600,0","144,51K","-0,67%"
"29.08.2018","26.800,0","26.600,0","26.800,0","26.600,0","53,62K","0,75%"
"28.08.2018","26.600,0","26.600,0","26.640,0","26.600,0","35,28K","-0,15%"
"27.08.2018","26.640,0","26.800,0","26.800,0","26.620,0","31,38K","-0,52%"
"24.08.2018","26.780,0","26.680,0","26.920,0","26.680,0","50,99K","0,00%"
"23.08.2018","26.780,0","26.700,0","26.780,0","26.660,0","58,84K","0,30%"
"22.08.2018","26.700,0","26.720,0","26.800,0","26.600,0","78,37K","0,00%"
"21.08.2018","26.700,0","26.700,0","26.780,0","26.600,0","49,07K","0,00%"
"17.08.2018","26.700,0","26.460,0","26.740,0","26.460,0","73,78K","0,07%"
"16.08.2018","26.680,0","26.780,0","26.900,0","26.620,0","88,66K","-0,37%"
"15.08.2018","26.780,0","26.780,0","26.780,0","26.620,0","82,66K","0,15%"
"14.08.2018","26.740,0","26.620,0","26.780,0","26.600,0","20,99K","0,53%"
"13.08.2018","26.600,0","26.700,0","26.800,0","26.500,0","47,00K","-0,75%"
"10.08.2018","26.800,0","26.800,0","26.900,0","26.660,0","74,16K","0,00%"
"09.08.2018","26.800,0","26.900,0","26.900,0","26.760,0","50,35K","-0,37%"
"08.08.2018","26.900,0","26.560,0","26.900,0","26.560,0","150,94K","1,28%"
"06.08.2018","26.560,0","26.040,0","26.560,0","26.040,0","13,01K","-0,15%"
"03.08.2018","26.600,0","27.000,0","27.100,0","26.600,0","332,22K","-1,85%"
"02.08.2018","27.100,0","26.800,0","27.100,0","26.800,0","41,39K","0,59%"
"01.08.2018","26.940,0","26.800,0","26.980,0","26.800,0","66,15K","0,00%"
"31.07.2018","26.940,0","26.900,0","27.020,0","26.880,0","164,13K","0,15%"
"30.07.2018","26.900,0","26.900,0","27.060,0","26.700,0","121,90K","0,00%"
"27.07.2018","26.900,0","27.000,0","27.200,0","26.880,0","53,08K","-0,15%"
"26.07.2018","26.940,0","26.720,0","27.200,0","26.720,0","99,21K","0,67%"
"25.07.2018","26.760,0","26.800,0","26.960,0","26.760,0","49,48K","0,15%"
"24.07.2018","26.720,0","26.820,0","27.000,0","26.720,0","150,19K","-0,30%"
"23.07.2018","26.800,0","27.160,0","27.160,0","26.740,0","78,80K","-1,47%"
"19.07.2018","27.200,0","27.240,0","27.260,0","27.000,0","67,48K","-0,15%"
"18.07.2018","27.240,0","27.120,0","27.240,0","27.000,0","423,30K","0,37%"
"17.07.2018","27.140,0","27.060,0","27.140,0","26.960,0","79,81K","0,52%"
"16.07.2018","27.000,0","26.980,0","27.100,0","26.840,0","196,07K","0,07%"
"13.07.2018","26.980,0","27.140,0","27.140,0","26.980,0","15,54K","0,30%"
"12.07.2018","26.900,0","27.140,0","27.160,0","26.880,0","42,10K","-0,96%"
"11.07.2018","27.160,0","27.000,0","27.300,0","27.000,0","340,64K","0,22%"
"10.07.2018","27.100,0","26.980,0","27.100,0","26.960,0","676,44K","1,65%"
"09.07.2018","26.660,0","26.880,0","26.880,0","26.500,0","460,06K","0,15%"
"06.07.2018","26.620,0","27.000,0","27.000,0","26.620,0","123,10K","-1,41%"
"05.07.2018","27.000,0","26.780,0","27.000,0","26.580,0","57,76K","0,75%"
"04.07.2018","26.800,0","26.240,0","26.800,0","26.240,0","4,87K","2,29%"
"03.07.2018","26.200,0","26.520,0","26.520,0","26.200,0","5,82K","-2,96%"
"29.06.2018","27.000,0","26.420,0","27.000,0","26.420,0","85,14K","1,50%"
"28.06.2018","26.600,0","26.960,0","26.960,0","26.600,0","33,36K","-0,75%"
"27.06.2018","26.800,0","27.080,0","27.100,0","26.580,0","109,41K","-1,03%"
"26.06.2018","27.080,0","26.560,0","27.300,0","26.560,0","92,40K","0,30%"
"25.06.2018","27.000,0","26.440,0","27.000,0","26.400,0","71,93K","2,20%"
"22.06.2018","26.420,0","26.920,0","26.920,0","26.420,0","298,19K","-1,86%"
"21.06.2018","26.920,0","26.620,0","26.980,0","26.620,0","79,75K","1,13%"
"20.06.2018","26.620,0","26.500,0","26.700,0","26.500,0","137,09K","0,45%"
"19.06.2018","26.500,0","26.520,0","26.520,0","26.480,0","16,24K","-0,08%"
"18.06.2018","26.520,0","26.380,0","26.520,0","26.340,0","114,85K","1,53%"
"15.06.2018","26.120,0","26.300,0","26.320,0","26.120,0","332,36K","-0,68%"
"14.06.2018","26.300,0","25.960,0","26.540,0","25.960,0","89,88K","-0,68%"
"13.06.2018","26.480,0","26.540,0","26.580,0","26.480,0","33,75K","-0,30%"
"12.06.2018","26.560,0","26.580,0","26.580,0","26.360,0","33,73K","0,15%"
"08.06.2018","26.520,0","26.520,0","26.520,0","26.200,0","31,91K","0,00%"
"07.06.2018","26.520,0","26.620,0","26.740,0","26.400,0","397,45K","-0,90%"
"06.06.2018","26.760,0","26.600,0","26.840,0","26.600,0","47,94K","0,68%"
"05.06.2018","26.580,0","26.500,0","26.960,0","26.500,0","89,45K","0,30%"
"01.06.2018","26.500,0","25.940,0","26.500,0","25.820,0","122,28K","2,63%"
"31.05.2018","25.820,0","26.000,0","26.000,0","25.660,0","112,27K","-0,92%"
"30.05.2018","26.060,0","26.000,0","26.080,0","26.000,0","109,20K","0,23%"
"29.05.2018","26.000,0","25.940,0","26.000,0","25.760,0","48,07K","0,23%"
"28.05.2018","25.940,0","25.980,0","25.980,0","25.700,0","14,12K","0,62%"
"25.05.2018","25.780,0","25.980,0","25.980,0","25.760,0","94,80K","-0,77%"
"24.05.2018","25.980,0","25.860,0","25.980,0","25.820,0","56,75K","0,46%"
"23.05.2018","25.860,0","26.080,0","26.080,0","25.800,0","306,03K","0,00%"
"22.05.2018","25.860,0","26.180,0","26.180,0","25.860,0","126,48K","-0,61%"
