"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","7.020,0","7.330,0","7.330,0","7.020,0","5,90K","0,29%"
"05.09.2018","7.000,0","7.380,0","7.380,0","7.000,0","33,84K","-0,57%"
"04.09.2018","7.040,0","7.040,0","7.040,0","7.040,0","11,73K","0,00%"
"31.08.2018","7.040,0","6.850,0","7.040,0","6.700,0","201,53K","3,53%"
"30.08.2018","6.800,0","7.000,0","7.180,0","6.800,0","28,40K","-3,55%"
"29.08.2018","7.050,0","7.020,0","7.150,0","7.010,0","44,81K","0,43%"
"28.08.2018","7.020,0","7.020,0","7.020,0","7.010,0","17,82K","0,29%"
"27.08.2018","7.000,0","7.130,0","7.180,0","7.000,0","17,04K","-1,82%"
"24.08.2018","7.130,0","7.120,0","7.130,0","7.110,0","29,65K","0,14%"
"23.08.2018","7.120,0","7.200,0","7.200,0","7.120,0","7,98K","-1,52%"
"22.08.2018","7.230,0","7.130,0","7.230,0","7.100,0","45,51K","-0,28%"
"21.08.2018","7.250,0","7.250,0","7.250,0","7.250,0","5,42K","1,68%"
"17.08.2018","7.130,0","7.380,0","7.380,0","7.130,0","9,91K","0,14%"
"16.08.2018","7.120,0","7.300,0","7.400,0","7.120,0","105,25K","-3,78%"
"15.08.2018","7.400,0","7.540,0","7.540,0","7.400,0","35,43K","0,00%"
"14.08.2018","7.400,0","7.400,0","7.400,0","7.400,0","2,87K","-4,52%"
"13.08.2018","7.750,0","7.750,0","7.750,0","7.750,0","2,88K","-0,13%"
"10.08.2018","7.760,0","7.400,0","7.760,0","7.400,0","6,25K","0,00%"
"09.08.2018","7.760,0","7.400,0","7.760,0","7.400,0","29,04K","4,86%"
"08.08.2018","7.400,0","7.400,0","7.400,0","7.400,0","19,01K","-1,99%"
"02.08.2018","7.550,0","7.400,0","7.550,0","7.400,0","21,96K","2,03%"
"01.08.2018","7.400,0","7.390,0","7.400,0","7.390,0","18,93K","3,64%"
"31.07.2018","7.140,0","7.400,0","7.400,0","7.140,0","44,98K","-3,38%"
"30.07.2018","7.390,0","7.390,0","7.390,0","7.390,0","3,64K","-0,14%"
"26.07.2018","7.400,0","7.400,0","7.400,0","7.400,0","14,95K","0,00%"
"25.07.2018","7.400,0","7.400,0","7.400,0","7.400,0","11,28K","2,78%"
"24.07.2018","7.200,0","7.300,0","7.300,0","7.200,0","25,90K","-1,77%"
"23.07.2018","7.330,0","7.330,0","7.330,0","7.330,0","5,60K","-0,27%"
"19.07.2018","7.350,0","7.350,0","7.350,0","7.350,0","2,00K","-1,08%"
"18.07.2018","7.430,0","7.460,0","7.460,0","7.430,0","11,04K","-0,40%"
"17.07.2018","7.460,0","7.490,0","7.490,0","7.460,0","14,66K","-0,40%"
