"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","33.220,0","34.100,0","34.500,0","33.180,0","157,61K","-2,41%"
"05.09.2018","34.040,0","35.140,0","35.140,0","34.000,0","407,86K","-3,13%"
"04.09.2018","35.140,0","35.900,0","35.900,0","35.140,0","352,12K","-2,12%"
"03.09.2018","35.900,0","36.100,0","36.100,0","35.900,0","6,97K","-0,28%"
"31.08.2018","36.000,0","36.000,0","36.060,0","35.800,0","213,93K","0,00%"
"30.08.2018","36.000,0","36.020,0","36.240,0","35.900,0","313,60K","-0,06%"
"29.08.2018","36.020,0","36.960,0","36.960,0","36.000,0","1,96M","-2,65%"
"28.08.2018","37.000,0","37.000,0","37.000,0","36.860,0","114,73K","0,82%"
"27.08.2018","36.700,0","36.640,0","37.000,0","36.540,0","495,43K","-0,97%"
"24.08.2018","37.060,0","36.780,0","37.200,0","36.720,0","76,55K","0,16%"
"23.08.2018","37.000,0","36.900,0","37.000,0","36.700,0","43,08K","0,27%"
"22.08.2018","36.900,0","36.500,0","36.920,0","36.500,0","155,54K","0,82%"
"21.08.2018","36.600,0","36.400,0","36.600,0","36.400,0","101,23K","0,55%"
"17.08.2018","36.400,0","36.600,0","36.880,0","36.200,0","868,87K","-0,60%"
"16.08.2018","36.620,0","36.500,0","37.180,0","36.500,0","151,23K","0,33%"
"15.08.2018","36.500,0","36.760,0","36.920,0","36.500,0","77,47K","-0,71%"
"14.08.2018","36.760,0","36.520,0","37.000,0","36.520,0","33,31K","0,66%"
"13.08.2018","36.520,0","37.000,0","37.000,0","36.520,0","43,31K","-1,30%"
"10.08.2018","37.000,0","37.100,0","37.100,0","37.000,0","67,98K","-0,27%"
"09.08.2018","37.100,0","36.440,0","37.100,0","36.240,0","82,37K","1,64%"
"08.08.2018","36.500,0","36.240,0","36.500,0","36.000,0","61,39K","1,11%"
"06.08.2018","36.100,0","36.180,0","36.300,0","36.100,0","59,38K","-0,55%"
"03.08.2018","36.300,0","36.000,0","36.500,0","36.000,0","104,61K","1,06%"
"02.08.2018","35.920,0","36.180,0","36.220,0","35.860,0","183,50K","-0,72%"
"01.08.2018","36.180,0","36.320,0","36.320,0","36.000,0","161,18K","0,22%"
"31.07.2018","36.100,0","37.120,0","37.420,0","36.100,0","910,34K","-2,75%"
"30.07.2018","37.120,0","36.440,0","37.120,0","36.440,0","93,99K","1,92%"
"27.07.2018","36.420,0","36.380,0","36.480,0","36.340,0","85,44K","0,72%"
"26.07.2018","36.160,0","36.080,0","36.500,0","36.000,0","385,86K","0,22%"
"25.07.2018","36.080,0","36.820,0","36.980,0","35.380,0","2,91M","-1,96%"
"24.07.2018","36.800,0","36.820,0","37.000,0","36.800,0","106,38K","-0,22%"
"23.07.2018","36.880,0","37.200,0","37.220,0","36.880,0","94,99K","-1,07%"
"19.07.2018","37.280,0","37.300,0","37.340,0","37.140,0","84,40K","-0,05%"
"18.07.2018","37.300,0","37.380,0","37.460,0","37.300,0","80,19K","-0,21%"
"17.07.2018","37.380,0","37.120,0","37.480,0","37.000,0","236,71K","0,92%"
"16.07.2018","37.040,0","36.900,0","37.080,0","36.900,0","44,24K","0,38%"
"13.07.2018","36.900,0","36.840,0","37.080,0","36.840,0","57,63K","0,11%"
"12.07.2018","36.860,0","36.880,0","37.000,0","36.820,0","155,83K","-0,05%"
"11.07.2018","36.880,0","36.900,0","36.920,0","36.680,0","159,52K","0,00%"
"10.07.2018","36.880,0","37.000,0","37.020,0","36.760,0","302,62K","0,33%"
"09.07.2018","36.760,0","37.300,0","37.300,0","36.720,0","154,14K","-1,45%"
"06.07.2018","37.300,0","37.680,0","37.700,0","37.300,0","184,24K","-1,01%"
"05.07.2018","37.680,0","37.700,0","37.700,0","37.580,0","316,38K","0,11%"
"04.07.2018","37.640,0","37.680,0","37.700,0","37.360,0","20,77K","0,75%"
"03.07.2018","37.360,0","37.720,0","37.980,0","37.300,0","442,76K","-0,64%"
"29.06.2018","37.600,0","36.900,0","37.780,0","36.900,0","216,20K","2,06%"
