"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.09.2018","32.540,0","33.500,0","33.500,0","32.500,0","45,62K","-2,87%"
"05.09.2018","33.500,0","34.320,0","34.960,0","33.500,0","66,09K","-2,39%"
"04.09.2018","34.320,0","35.300,0","35.300,0","34.320,0","22,02K","-2,78%"
"03.09.2018","35.300,0","35.500,0","35.500,0","35.300,0","6,54K","-0,11%"
"31.08.2018","35.340,0","34.860,0","35.620,0","34.460,0","240,06K","0,97%"
"30.08.2018","35.000,0","35.020,0","35.240,0","34.860,0","56,66K","0,00%"
"29.08.2018","35.000,0","35.980,0","36.000,0","35.000,0","51,73K","-2,78%"
"28.08.2018","36.000,0","35.600,0","36.100,0","35.600,0","221,32K","0,78%"
"27.08.2018","35.720,0","35.500,0","35.720,0","35.100,0","49,37K","0,34%"
"24.08.2018","35.600,0","35.060,0","35.800,0","35.060,0","177,27K","0,85%"
"23.08.2018","35.300,0","35.780,0","35.800,0","35.300,0","27,23K","-1,34%"
"22.08.2018","35.780,0","35.840,0","35.840,0","35.460,0","24,21K","0,62%"
"21.08.2018","35.560,0","35.200,0","35.840,0","35.200,0","45,69K","0,28%"
"17.08.2018","35.460,0","35.440,0","35.460,0","35.200,0","763,89K","0,00%"
"16.08.2018","35.460,0","35.200,0","35.500,0","35.180,0","100,93K","0,85%"
"15.08.2018","35.160,0","34.600,0","35.320,0","34.600,0","34,83K","1,09%"
"14.08.2018","34.780,0","35.380,0","35.500,0","34.780,0","12,92K","0,29%"
"13.08.2018","34.680,0","34.680,0","34.680,0","34.680,0","7,46K","-1,08%"
"10.08.2018","35.060,0","35.060,0","35.060,0","35.060,0","3,07K","-0,68%"
"09.08.2018","35.300,0","35.300,0","35.300,0","35.040,0","63,62K","0,00%"
"08.08.2018","35.300,0","34.600,0","35.300,0","34.600,0","44,26K","0,63%"
"06.08.2018","35.080,0","34.600,0","35.080,0","34.600,0","12,95K","-0,06%"
"03.08.2018","35.100,0","35.280,0","35.280,0","34.940,0","17,53K","-0,23%"
"02.08.2018","35.180,0","34.920,0","35.180,0","34.900,0","11,68K","-0,17%"
"01.08.2018","35.240,0","34.780,0","35.240,0","34.740,0","37,73K","1,32%"
"31.07.2018","34.780,0","35.380,0","35.680,0","34.780,0","168,91K","-1,70%"
"30.07.2018","35.380,0","35.220,0","35.400,0","35.220,0","129,66K","0,45%"
"27.07.2018","35.220,0","34.540,0","35.400,0","34.540,0","28,91K","0,69%"
"26.07.2018","34.980,0","35.200,0","35.200,0","34.360,0","208,81K","1,69%"
"25.07.2018","34.400,0","35.680,0","35.680,0","34.140,0","2,10M","-3,64%"
"24.07.2018","35.700,0","35.700,0","35.720,0","35.520,0","31,79K","-0,11%"
"23.07.2018","35.740,0","35.760,0","35.760,0","35.220,0","32,42K","0,11%"
"19.07.2018","35.700,0","35.340,0","35.700,0","35.340,0","12,24K","-0,28%"
"18.07.2018","35.800,0","36.000,0","36.000,0","35.700,0","45,38K","-0,56%"
"17.07.2018","36.000,0","36.000,0","36.100,0","35.820,0","24,51K","0,06%"
"16.07.2018","35.980,0","35.060,0","35.980,0","35.060,0","47,59K","1,75%"
"13.07.2018","35.360,0","35.820,0","35.820,0","35.360,0","21,22K","-1,17%"
"12.07.2018","35.780,0","35.520,0","36.000,0","35.520,0","58,50K","-0,72%"
"11.07.2018","36.040,0","35.520,0","36.040,0","35.460,0","63,83K","0,00%"
"10.07.2018","36.040,0","35.980,0","36.040,0","35.520,0","62,96K","0,11%"
"09.07.2018","36.000,0","36.000,0","36.000,0","35.300,0","98,03K","0,00%"
